juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,20,4,59,4,70,6,114,5,89,5,85,5.0,71.0,5.0,64.0,0.0,0.0,0.0,0.0,40.0,572.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,104.0,7.2727272727272725
Samba Balloon,6,34,9,122,9,111,9,96,9,119,9,97,9.0,120.0,9.0,116.0,0.0,0.0,0.0,0.0,69.0,815.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,148.1818181818182,12.545454545454545
Loco Bus,3,24,8,65,10,150,10,137,11,112,10,130,9.0,100.0,10.0,108.0,0.0,0.0,0.0,0.0,71.0,826.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,150.1818181818182,12.909090909090908
Dragon,9,106,17,318,13,252,12,229,15,290,14,263,14.0,267.0,11.0,143.0,0.0,0.0,0.0,0.0,105.0,1868.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,339.6363636363636,19.09090909090909
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,0.0,0.0
Ratón Loroco,24,84,72,254,82,308,82,314,78,280,76,276,77.0,278.0,72.0,282.0,0.0,0.0,0.0,0.0,563.0,2076.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,377.45454545454544,102.36363636363636
Remolino,21,86,0,0,17,94,60,330,16,91,10,55,30.0,165.0,46.0,251.0,0.0,0.0,0.0,0.0,200.0,1072.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,194.9090909090909,36.36363636363637
Rascacielos,6,80,9,159,9,161,9,161,8,140,9,159,9.0,157.0,9.0,157.0,0.0,0.0,0.0,0.0,68.0,1174.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,213.45454545454547,12.363636363636363
Tronco Splash,52,192,82,234,136,414,144,374,144,404,136,371,144.0,533.0,122.0,437.0,0.0,0.0,0.0,0.0,960.0,2959.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,538.0,174.54545454545453
Bumperazo,4,37,7,181,7,187,7,169,8,187,7,180,8.0,215.0,8.0,225.0,0.0,0.0,0.0,0.0,56.0,1381.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,251.0909090909091,10.181818181818182
Brincanguro,4,57,8,186,7,161,7,159,7,161,7,162,8.0,186.0,8.0,185.0,0.0,0.0,0.0,0.0,56.0,1257.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,228.54545454545453,10.181818181818182
Moto Bala,19,191,27,298,25,274,24,264,24,264,24,264,26.0,286.0,22.0,242.0,0.0,0.0,0.0,0.0,191.0,2083.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,378.72727272727275,34.72727272727273
Convoy,5,18,11,55,18,94,10,54,14,92,16,100,13.0,82.0,11.0,74.0,0.0,0.0,0.0,0.0,98.0,569.0,2023-11-23,False,Ninguno,23.0,14.0,Moderate rain at times,0,103.45454545454545,17.818181818181817
