date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,6,45,9,88,8,88,8,86,8,83,8.0,81.0,8.0,77.0,8.0,77.0,0.0,0.0,63.0,625.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,113.63636363636364,11.454545454545457,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,0.75,0.96,0.7812499999999999,3.720238095238091,stable,1.4667,1.44,1.0185185185185184,60.0,saturated,1.4667,1.28,1.145833333333333,60.0,saturated,1.4333,1.28,1.1197916666666665,60.0,saturated,1.3833,1.28,1.0807291666666665,60.0,saturated,1.35,1.28,1.0546874999999998,60.0,saturated,1.2833,1.28,1.0026041666666665,60.0,saturated,1.2833,1.28,1.0026041666666665,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,6,42,7,46,9,40,9,32,9,46,12.0,89.0,9.0,41.0,0.0,0.0,0.0,0.0,61.0,336.0,False,Ninguno,28.0,16.0,Overcast,0,61.09090909090909,11.090909090909092,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.7,0.96,0.7291666666666665,2.804487179487176,stable,0.7667,1.12,0.6845238095238094,1.9373315363881383,stable,0.6667,1.44,0.4629629629629629,0.5986590038314173,stable,0.5333,1.44,0.3703703703703703,0.40849673202614367,stable,0.7667,1.44,0.5324074074074073,0.7907040704070406,stable,1.4833,1.92,0.7725694444444443,1.7692430025445276,stable,0.6833,1.44,0.474537037037037,0.6271414586392559,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,4,17,11,118,9,100,10,114,8,80,10,112,10.0,111.0,10.0,117.0,10.0,110.0,0.0,0.0,82.0,879.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,159.8181818181818,14.909090909090908,01052022_limpio.csv,1,5,2022,Sunday,0,0.2833,0.64,0.44270833333333326,1.2412383177570088,stable,1.9667,1.76,1.117424242424242,60.0,saturated,1.6667,1.44,1.1574074074074072,60.0,saturated,1.9,1.6,1.1874999999999998,60.0,saturated,1.3333,1.28,1.0416666666666663,60.0,saturated,1.8667,1.6,1.1666666666666665,60.0,saturated,1.85,1.6,1.1562499999999998,60.0,saturated,1.95,1.6,1.2187499999999998,60.0,saturated,1.8333,1.6,1.145833333333333,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-07-01,0,0,10,108,11,126,11,123,11,124,11,126,11.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,730.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,132.72727272727272,11.818181818181818,01072022_limpio.csv,1,7,2022,Friday,0,0.0,0.0,0.0,0.0,Closed,1.8,1.6,1.1249999999999998,60.0,saturated,2.1,1.76,1.193181818181818,60.0,saturated,2.05,1.76,1.1647727272727268,60.0,saturated,2.0667,1.76,1.174242424242424,60.0,saturated,2.1,1.76,1.193181818181818,60.0,saturated,2.05,1.76,1.1647727272727268,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,0,0,7,36,8,58,8,36,7,19,5,33,5.0,13.0,6.0,37.0,0.0,0.0,0.0,0.0,46.0,232.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,42.18181818181818,8.363636363636363,01092022_limpio.csv,1,9,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,0.6,1.12,0.5357142857142856,1.0302197802197792,stable,0.9667,1.28,0.7552083333333331,2.4102393617021254,stable,0.6,1.28,0.4687499999999999,0.6893382352941172,stable,0.3167,1.12,0.2827380952380951,0.35195613515115565,stable,0.55,0.8,0.6874999999999999,2.7499999999999987,stable,0.2167,0.8,0.2708333333333333,0.4642857142857141,stable,0.6167,0.96,0.642361111111111,1.8709546925566332,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,5,42,10,104,10,106,10,111,10,108,10,107,10.0,110.0,10.0,107.0,0.0,0.0,6.0,45.0,121.0,1273.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,192.0909090909091,18.363636363636363,01102022_limpio.csv,1,10,2022,Saturday,0,0.7,0.8,0.8749999999999998,8.749999999999979,stable,1.7333,1.6,1.0833333333333333,60.0,saturated,1.7667,1.6,1.1041666666666665,60.0,saturated,1.85,1.6,1.1562499999999998,60.0,saturated,1.8,1.6,1.1249999999999998,60.0,saturated,1.7833,1.6,1.1145833333333333,60.0,saturated,1.8333,1.6,1.145833333333333,60.0,saturated,1.7833,1.6,1.1145833333333333,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.75,0.96,0.7812499999999999,3.720238095238091,stable
2022-12-01,4,17,11,77,12,108,12,121,11,96,11,82,11.0,103.0,11.0,89.0,0.0,0.0,0.0,0.0,83.0,693.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,126.0,15.090909090909092,01122022_limpio.csv,1,12,2022,Thursday,1,0.2833,0.64,0.44270833333333326,1.2412383177570088,stable,1.2833,1.76,0.7291666666666665,1.5297202797202782,stable,1.8,1.92,0.9374999999999999,7.812499999999977,stable,2.0167,1.92,1.0503472222222219,60.0,saturated,1.6,1.76,0.909090909090909,5.6818181818181674,stable,1.3667,1.76,0.7765151515151514,1.9741910631741115,stable,1.7167,1.76,0.9753787878787876,22.508741258740965,stable,1.4833,1.76,0.8428030303030302,3.046276013143478,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,8,58,9,80,9,101,9,102,9,100,9,99,9.0,94.0,9.0,98.0,9.0,97.0,0.0,0.0,80.0,829.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,150.72727272727272,14.545454545454543,02012022_limpio.csv,2,1,2022,Sunday,0,0.9667,1.28,0.7552083333333331,2.4102393617021254,stable,1.3333,1.44,0.9259259259259258,8.680555555555534,stable,1.6833,1.44,1.1689814814814814,60.0,saturated,1.7,1.44,1.1805555555555554,60.0,saturated,1.6667,1.44,1.1574074074074072,60.0,saturated,1.65,1.44,1.145833333333333,60.0,saturated,1.5667,1.44,1.0879629629629628,60.0,saturated,1.6333,1.44,1.134259259259259,60.0,saturated,1.6167,1.44,1.1226851851851851,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-02,4,17,10,96,11,118,11,124,11,120,11,119,11.0,128.0,11.0,123.0,11.0,121.0,0.0,0.0,91.0,966.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,175.63636363636363,16.545454545454547,02042022_limpio.csv,2,4,2022,Saturday,1,0.2833,0.64,0.44270833333333326,1.2412383177570088,stable,1.6,1.6,0.9999999999999999,60.0,stable,1.9667,1.76,1.117424242424242,60.0,saturated,2.0667,1.76,1.174242424242424,60.0,saturated,2.0,1.76,1.136363636363636,60.0,saturated,1.9833,1.76,1.1268939393939392,60.0,saturated,2.1333,1.76,1.2121212121212117,60.0,saturated,2.05,1.76,1.1647727272727268,60.0,saturated,2.0167,1.76,1.145833333333333,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-06-02,1,5,6,19,6,35,10,49,6,22,10,47,7.0,21.0,6.0,33.0,0.0,0.0,0.0,0.0,52.0,231.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,42.0,9.454545454545457,02062022_limpio.csv,2,6,2022,Thursday,0,0.0833,0.16,0.5208333333333331,6.793478260869561,stable,0.3167,0.96,0.32986111111111105,0.5127374784110533,stable,0.5833,0.96,0.6076388888888888,1.6132005899705006,stable,0.8167,1.6,0.5104166666666665,0.6515957446808507,stable,0.3667,0.96,0.38194444444444436,0.6437265917602993,stable,0.7833,1.6,0.48958333333333326,0.5994897959183669,stable,0.35,1.12,0.3124999999999999,0.4058441558441555,stable,0.55,0.96,0.5729166666666666,1.397357723577235,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
