date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,10,155,11,248,11,250,11,247,11,241,11.0,250.0,11.0,242.0,11.0,235.0,0.0,0.0,87.0,1868.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,339.6363636363636,15.818181818181818,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,2.5833,4.4,0.5871212121212122,0.32318598832360296,stable,4.1333,4.84,0.8539944903581268,1.2084827693747087,stable,4.1667,4.84,0.8608815426997246,1.2785369446035522,stable,4.1167,4.84,0.8505509641873278,1.1758769090147383,stable,4.0167,4.84,0.8298898071625345,1.0079633285374914,stable,4.1667,4.84,0.8608815426997246,1.2785369446035522,stable,4.0333,4.84,0.8333333333333334,1.0330578512396693,stable,3.9167,4.84,0.809228650137741,0.8764209207267953,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,7,38,7,110,7,110,7,115,7,112,7.0,118.0,7.0,112.0,0.0,0.0,0.0,0.0,49.0,715.0,False,Ninguno,28.0,16.0,Overcast,0,130.0,8.909090909090908,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.6333,3.08,0.20562770562770563,0.08404402137372166,stable,1.8333,3.08,0.5952380952380952,0.47746371275783056,stable,1.8333,3.08,0.5952380952380952,0.47746371275783056,stable,1.9167,3.08,0.6222943722943723,0.5349235291928705,stable,1.8667,3.08,0.6060606060606062,0.49950049950049974,stable,1.9667,3.08,0.6385281385281386,0.5735282681390468,stable,1.8667,3.08,0.6060606060606062,0.49950049950049974,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,4,58,7,124,7,112,7,113,7,124,7,120,7.0,115.0,7.0,121.0,7.0,115.0,0.0,0.0,60.0,1002.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,182.1818181818182,10.909090909090908,01052022_limpio.csv,1,5,2022,Sunday,0,0.9667,1.76,0.5492424242424242,0.692322383498854,stable,2.0667,3.08,0.6709956709956711,0.6621667805878337,stable,1.8667,3.08,0.6060606060606062,0.49950049950049974,stable,1.8833,3.08,0.6114718614718615,0.510979271424954,stable,2.0667,3.08,0.6709956709956711,0.6621667805878337,stable,2.0,3.08,0.6493506493506495,0.6012506012506016,stable,1.9167,3.08,0.6222943722943723,0.5349235291928705,stable,2.0167,3.08,0.6547619047619048,0.6157635467980298,stable,1.9167,3.08,0.6222943722943723,0.5349235291928705,stable,0.0,0.0,0.0,0.0,Closed
2022-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,0.0,0.0,01072022_limpio.csv,1,7,2022,Friday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,5,74,7,148,7,176,7,184,7,189,7,187,7.0,191.0,5.0,138.0,0.0,0.0,0.0,0.0,52.0,1287.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,234.0,9.454545454545457,01092022_limpio.csv,1,9,2022,Thursday,0,1.2333,2.2,0.5606060606060606,0.579937304075235,stable,2.4667,3.08,0.800865800865801,1.3057594579333722,stable,2.9333,3.08,0.9523809523809524,6.493506493506501,stable,3.0667,3.08,0.9956709956709958,60.0,stable,3.15,3.08,1.022727272727273,60.0,saturated,3.1167,3.08,1.011904761904762,60.0,saturated,3.1833,3.08,1.0335497835497836,60.0,saturated,2.3,2.2,1.0454545454545452,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,6,78,7,161,7,197,7,199,7,185,7,197,7.0,193.0,7.0,216.0,0.0,0.0,3.0,51.0,86.0,2215.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,335.6363636363636,13.090909090909092,01102022_limpio.csv,1,10,2022,Saturday,0,1.3,2.64,0.4924242424242425,0.3674807779285393,stable,2.6833,3.08,0.8712121212121212,2.196333078686021,stable,3.2833,3.08,1.066017316017316,60.0,saturated,3.3167,3.08,1.076839826839827,60.0,saturated,3.0833,3.08,1.0010822510822512,60.0,saturated,3.2833,3.08,1.066017316017316,60.0,saturated,3.2167,3.08,1.0443722943722946,60.0,saturated,3.6,3.08,1.168831168831169,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.85,1.32,0.643939393939394,1.3700838168923282,stable
2022-12-01,4,19,7,115,7,180,4,100,7,167,6,142,7.0,169.0,6.0,140.0,0.0,0.0,0.0,0.0,48.0,1032.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,187.63636363636363,8.727272727272727,01122022_limpio.csv,1,12,2022,Thursday,1,0.3167,1.76,0.1799242424242424,0.12465882846945202,stable,1.9167,3.08,0.6222943722943723,0.5349235291928705,stable,3.0,3.08,0.9740259740259741,12.175324675324735,stable,1.6667,1.76,0.946969696969697,10.146103896103902,stable,2.7833,3.08,0.9036796536796537,3.046111192178611,stable,2.3667,2.64,0.8964646464646466,3.2797487065779793,stable,2.8167,3.08,0.9145021645021647,3.472793029755063,stable,2.3333,2.64,0.883838383838384,2.8820816864295176,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,7,98,11,256,11,249,11,258,11,242,11,241,11.0,249.0,11.0,246.0,11.0,272.0,0.0,0.0,95.0,2111.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,383.8181818181818,17.272727272727273,02012022_limpio.csv,2,1,2022,Sunday,0,1.6333,3.08,0.5303030303030304,0.36656891495601185,stable,4.2667,4.84,0.8815426997245179,1.5375744762636943,stable,4.15,4.84,0.8574380165289257,1.2426637920709076,stable,4.3,4.84,0.8884297520661157,1.645240281603918,stable,4.0333,4.84,0.8333333333333334,1.0330578512396693,stable,4.0167,4.84,0.8298898071625345,1.0079633285374914,stable,4.15,4.84,0.8574380165289257,1.2426637920709076,stable,4.1,4.84,0.8471074380165289,1.144739781103417,stable,4.5333,4.84,0.9366391184573003,3.0542579949694577,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,6,65,7,109,8,130,8,128,8,124,8,129,8.0,132.0,8.0,131.0,8.0,126.0,0.0,0.0,69.0,1074.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,195.27272727272728,12.545454545454543,02042022_limpio.csv,2,4,2022,Saturday,1,1.0833,2.64,0.41035353535353536,0.2636104081500228,stable,1.8167,3.08,0.5898268398268399,0.4668814035568655,stable,2.1667,3.52,0.615530303030303,0.45482534706672634,stable,2.1333,3.52,0.6060606060606061,0.4370629370629371,stable,2.0667,3.52,0.5871212121212122,0.4039824854045038,stable,2.15,3.52,0.6107954545454545,0.44583609820836095,stable,2.2,3.52,0.625,0.47348484848484856,stable,2.1833,3.52,0.6202651515151515,0.4640387667195646,stable,2.1,3.52,0.5965909090909091,0.42013444302176695,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,2,16,7,64,8,109,8,107,8,110,8,77,8.0,130.0,7.0,105.0,0.0,0.0,0.0,0.0,56.0,718.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,130.54545454545453,10.181818181818182,02062022_limpio.csv,2,6,2022,Thursday,0,0.2667,0.88,0.30303030303030304,0.4940711462450593,stable,1.0667,3.08,0.34632034632034636,0.1720134170465297,stable,1.8167,3.52,0.5160984848484849,0.30299323963707525,stable,1.7833,3.52,0.506628787878788,0.2917248298726226,stable,1.8333,3.52,0.5208333333333333,0.308794466403162,stable,1.2833,3.52,0.36458333333333337,0.1630029806259315,stable,2.1667,3.52,0.615530303030303,0.45482534706672634,stable,1.75,3.08,0.5681818181818182,0.4272043745727958,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
