date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,3,41,7,91,8,103,8,96,6,72,7.0,86.0,8.0,96.0,9.0,108.0,0.0,0.0,56.0,693.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,126.0,10.181818181818182,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,0.6833,0.686,0.9961127308066084,60.0,stable,1.5167,1.6007,0.9475218658892129,11.280022212966841,stable,1.7167,1.8293,0.9384110787172012,8.329092414649713,stable,1.6,1.8293,0.8746355685131196,3.813817885958373,stable,1.2,1.372,0.8746355685131195,5.085090514611163,stable,1.4333,1.6007,0.8954602249062892,5.3513559257348025,stable,1.6,1.8293,0.8746355685131196,3.813817885958373,stable,1.8,2.058,0.8746355685131196,3.3900603430741096,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,4,24,6,53,4,27,6,50,6,40,6.0,46.0,9.0,75.0,0.0,0.0,0.0,0.0,41.0,315.0,False,Ninguno,28.0,16.0,Overcast,0,57.27272727272727,7.454545454545454,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.4,0.9147,0.4373177842565598,0.849710720705751,stable,0.8833,1.372,0.6438289601554908,1.3175217465664888,stable,0.45,0.9147,0.49198250728862974,1.0587858836914559,stable,0.8333,1.372,0.6073858114674442,1.1275726698034239,stable,0.6667,1.372,0.4859086491739553,0.6889064024205417,stable,0.7667,1.372,0.5587949465500487,0.9231194050936931,stable,1.25,2.058,0.6073858114674442,0.7517151132022826,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,4,30,8,100,8,105,7,93,6,85,8,105,8.0,102.0,8.0,110.0,11.0,154.0,0.0,0.0,68.0,884.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,160.72727272727272,12.363636363636363,01052022_limpio.csv,1,5,2022,Sunday,0,0.5,0.9147,0.5466472303206997,1.3182811020595655,stable,1.6667,1.8293,0.9110787172011663,5.600893753285863,stable,1.75,1.8293,0.9566326530612246,12.058394786486035,stable,1.55,1.6007,0.9683465222823825,19.112102413468172,stable,1.4167,1.372,1.0325558794946552,60.0,saturated,1.75,1.8293,0.9566326530612246,12.058394786486035,stable,1.7,1.8293,0.9293002915451896,7.1853115325659,stable,1.8333,1.8293,1.0021865889212829,60.0,saturated,2.5667,2.5153,1.0204081632653064,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-07-01,10,85,9,118,8,104,8,104,8,105,8,104,9.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,724.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,131.63636363636363,10.909090909090908,01072022_limpio.csv,1,7,2022,Friday,0,1.4167,2.2867,0.619533527696793,0.7121075030997622,stable,1.9667,2.058,0.9556203433754454,10.462996460315104,stable,1.7333,1.8293,0.9475218658892129,9.87001943634598,stable,1.7333,1.8293,0.9475218658892129,9.87001943634598,stable,1.75,1.8293,0.9566326530612246,12.058394786486035,stable,1.7333,1.8293,0.9475218658892129,9.87001943634598,stable,1.7333,2.058,0.8422416585681893,2.594173486349661,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,1,1,9,30,7,26,8,39,9,49,7,42,8.0,48.0,6.0,30.0,0.0,0.0,0.0,0.0,55.0,265.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,48.18181818181818,10.0,01092022_limpio.csv,1,9,2022,Thursday,0,0.0167,0.2287,0.0728862973760933,0.34380328950987404,stable,0.5,2.058,0.24295432458697766,0.1559398745744401,stable,0.4333,1.6007,0.2707205331112037,0.2319136491529444,stable,0.65,1.8293,0.3553206997084548,0.3012894570733083,stable,0.8167,2.058,0.39682539682539686,0.3196767428776022,stable,0.7,1.6007,0.4373177842565598,0.4855489832604292,stable,0.8,1.8293,0.4373177842565598,0.4248553603528755,stable,0.5,1.372,0.3644314868804665,0.41792601706475524,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,8,79,8,113,8,118,8,105,9,98,9,99,8.0,89.0,8.0,87.0,0.0,0.0,6.0,45.0,107.0,1271.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,191.27272727272728,16.272727272727273,01102022_limpio.csv,1,10,2022,Saturday,0,1.3167,1.8293,0.7197521865889213,1.4039379452319665,stable,1.8833,1.8293,1.029518950437318,60.0,saturated,1.9667,1.8293,1.0750728862973762,60.0,saturated,1.75,1.8293,0.9566326530612246,12.058394786486035,stable,1.6333,2.058,0.7936507936507937,1.8688794198998289,stable,1.65,2.058,0.8017492711370262,1.9650717429829079,stable,1.4833,1.8293,0.810860058309038,2.3435261800839258,stable,1.45,1.8293,0.7926384839650146,2.089556636111638,stable,0.0,0.0,0.0,0.0,Closed,0.75,1.372,0.5466472303206997,0.8788540680397103,stable
2022-12-01,4,15,8,61,8,66,7,60,7,89,8,94,8.0,103.0,9.0,76.0,0.0,0.0,0.0,0.0,59.0,564.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,102.54545454545456,10.727272727272728,01122022_limpio.csv,1,12,2022,Thursday,1,0.25,0.9147,0.27332361516034986,0.4112190799804662,stable,1.0167,1.8293,0.5557580174927114,0.6838695867424669,stable,1.1,1.8293,0.6013119533527698,0.8244679433538892,stable,1.0,1.6007,0.6247396917950855,1.0400771783491993,stable,1.4833,1.6007,0.9266972094960435,7.897987580932207,stable,1.5667,1.8293,0.8564139941690962,3.2604593686640726,stable,1.7167,1.8293,0.9384110787172012,8.329092414649713,stable,1.2667,2.058,0.6154842889536767,0.7777813255522453,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,7,28,9,106,9,104,8,95,8,104,8,100,8.0,97.0,8.0,97.0,8.0,96.0,0.0,0.0,73.0,827.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,150.36363636363637,13.272727272727272,02012022_limpio.csv,2,1,2022,Sunday,0,0.4667,1.6007,0.29154518950437325,0.2570945233724632,stable,1.7667,2.058,0.8584386135406544,2.946585630002247,stable,1.7333,2.058,0.8422416585681893,2.594173486349661,stable,1.5833,1.8293,0.8655247813411079,3.5183934200858045,stable,1.7333,1.8293,0.9475218658892129,9.87001943634598,stable,1.6667,1.8293,0.9110787172011663,5.600893753285863,stable,1.6167,1.8293,0.8837463556851313,4.1555471270460735,stable,1.6167,1.8293,0.8837463556851313,4.1555471270460735,stable,1.6,1.8293,0.8746355685131196,3.813817885958373,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,5,27,6,73,6,82,6,85,5,69,6,84,6.0,81.0,6.0,79.0,7.0,93.0,0.0,0.0,53.0,673.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,122.36363636363636,9.636363636363637,02042022_limpio.csv,2,4,2022,Saturday,1,0.45,1.1433,0.3935860058309038,0.5676721237945728,stable,1.2167,1.372,0.8867832847424684,5.708905266582415,stable,1.3667,1.372,0.9961127308066084,60.0,stable,1.4167,1.372,1.0325558794946552,60.0,saturated,1.15,1.1433,1.0058309037900874,60.0,saturated,1.4,1.372,1.0204081632653061,60.0,saturated,1.35,1.372,0.9839650145772596,44.72568248078494,stable,1.3167,1.372,0.9596695821185618,17.343426182865603,stable,1.55,1.6007,0.9683465222823825,19.112102413468172,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,2,5,5,20,9,55,7,24,7,36,8,42,9.0,27.0,9.0,50.0,0.0,0.0,0.0,0.0,56.0,259.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,47.09090909090909,10.181818181818182,02062022_limpio.csv,2,6,2022,Thursday,0,0.0833,0.4573,0.18221574344023322,0.48720787016105144,stable,0.3333,1.1433,0.2915451895043732,0.3599323327214483,stable,0.9167,2.058,0.44541626174279236,0.3902595751251101,stable,0.4,1.6007,0.2498958767180342,0.20813093563412072,stable,0.6,1.6007,0.3748438150770513,0.3745940856865936,stable,0.7,1.8293,0.3826530612244898,0.33883092788473124,stable,0.45,2.058,0.2186588921282799,0.13598189808972633,stable,0.8333,2.058,0.40492387431162946,0.33064007156638237,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
