date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,8,120,7,132,5,152,6,240,6,210,5.0,180.0,5.0,200.0,6.0,200.0,0.0,0.0,48.0,1434.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,260.72727272727275,8.727272727272727,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,2.0,3.6747,0.5442670537010159,0.3250002311112754,stable,2.2,3.2153,0.68422143893842,0.6738884822111819,stable,2.5333,2.2967,1.1030478955007255,60.0,saturated,4.0,2.756,1.4513788098693758,60.0,saturated,3.5,2.756,1.2699564586357037,60.0,saturated,3.0,2.2967,1.3062409288824381,60.0,saturated,3.3333,2.2967,1.4513788098693758,60.0,saturated,3.3333,2.756,1.2094823415578133,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,11,52,12,89,10,45,11,54,11,85,10.0,67.0,9.0,69.0,0.0,0.0,0.0,0.0,74.0,461.0,False,Ninguno,28.0,16.0,Overcast,0,83.81818181818181,13.454545454545457,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.8667,5.0527,0.17152658662092624,0.040976250984454426,stable,1.4833,5.512,0.26910982099661346,0.06679873101024658,stable,0.75,4.5933,0.16328011611030477,0.04248398511109404,stable,0.9,5.0527,0.1781237630294234,0.04289382638371088,stable,1.4167,5.0527,0.28037999736112945,0.07711221049536013,stable,1.1167,4.5933,0.24310595065312046,0.06992500977558594,stable,1.15,4.134,0.278180938558297,0.09322417512007271,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,6,79,6,164,7,212,4,124,4,132,6,219,4.0,144.0,5.0,182.0,8.0,212.0,0.0,0.0,50.0,1468.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,266.90909090909093,9.090909090909092,01052022_limpio.csv,1,5,2022,Sunday,0,1.3167,2.756,0.4777455249153362,0.3319213929471997,stable,2.7333,2.756,0.9917755200774068,43.75480235635586,stable,3.5333,3.2153,1.0989010989010988,60.0,saturated,2.0667,1.8373,1.1248185776487662,60.0,saturated,2.2,1.8373,1.197387518142235,60.0,saturated,3.65,2.756,1.3243831640058055,60.0,saturated,2.4,1.8373,1.3062409288824381,60.0,saturated,3.0333,2.2967,1.320754716981132,60.0,saturated,3.5333,3.6747,0.9615384615384615,6.803338171262678,stable,0.0,0.0,0.0,0.0,Closed
2022-07-01,10,130,10,309,10,340,10,340,10,340,10,340,10.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2129.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,387.09090909090907,12.727272727272728,01072022_limpio.csv,1,7,2022,Friday,0,2.1667,4.5933,0.4716981132075471,0.1943810906075056,stable,5.15,4.5933,1.1211901306240928,60.0,saturated,5.6667,4.5933,1.2336719883889695,60.0,saturated,5.6667,4.5933,1.2336719883889695,60.0,saturated,5.6667,4.5933,1.2336719883889695,60.0,saturated,5.6667,4.5933,1.2336719883889695,60.0,saturated,5.5,4.5933,1.197387518142235,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,2,4,7,49,11,93,12,80,11,64,9,63,9.0,63.0,9.0,62.0,0.0,0.0,0.0,0.0,70.0,478.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,86.9090909090909,12.727272727272728,01092022_limpio.csv,1,9,2022,Thursday,0,0.0667,0.9187,0.07256894049346879,0.08517481278576147,stable,0.8167,3.2153,0.25399129172714074,0.10588853184844665,stable,1.55,5.0527,0.30676870299511805,0.0875814721150889,stable,1.3333,5.512,0.2418964683115626,0.05788843370570259,stable,1.0667,5.0527,0.2111096450719092,0.05296278100148248,stable,1.05,4.134,0.2539912917271408,0.0823577469932363,stable,1.05,4.134,0.2539912917271408,0.0823577469932363,stable,1.0333,4.134,0.2499596839219481,0.08061481958351366,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,5,114,6,191,7,295,7,317,7,312,7,240,7.0,283.0,8.0,330.0,0.0,0.0,0.0,0.0,54.0,2082.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,378.54545454545456,9.818181818181818,01102022_limpio.csv,1,10,2022,Saturday,0,1.9,2.2967,0.8272859216255442,2.08559476040053,stable,3.1833,2.756,1.1550556361877116,60.0,saturated,4.9167,3.2153,1.529131246112378,60.0,saturated,5.2833,3.2153,1.6431681526021147,60.0,saturated,5.2,3.2153,1.6172506738544474,60.0,saturated,4.0,3.2153,1.2440389798880365,60.0,saturated,4.7167,3.2153,1.4669292971179764,60.0,saturated,5.5,3.6747,1.4967343976777938,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-12-01,7,40,9,120,11,120,10,134,11,119,11,207,9.0,134.0,10.0,85.0,0.0,0.0,0.0,0.0,78.0,959.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,174.36363636363637,14.181818181818182,01122022_limpio.csv,1,12,2022,Thursday,1,0.6667,3.2153,0.20733982998133937,0.08135227438451714,stable,2.0,4.134,0.4837929366231253,0.22670709307550385,stable,2.0,5.0527,0.3958305845098298,0.12966714932621634,stable,2.2333,4.5933,0.4862119013062409,0.2060219920789156,stable,1.9833,5.0527,0.39253199630558117,0.1278883567459539,stable,3.45,5.0527,0.6828077582794564,0.4260447743008255,stable,2.2333,4.134,0.5402354458958232,0.2842347137298263,stable,1.4167,4.5933,0.3084179970972424,0.09708856152064294,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,8,76,6,126,6,200,4,154,5,184,6,232,7.0,270.0,7.0,278.0,9.0,360.0,0.0,0.0,58.0,1880.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,341.8181818181818,10.545454545454543,02012022_limpio.csv,2,1,2022,Sunday,0,1.2667,3.6747,0.34470246734397675,0.14314886517607003,stable,2.1,2.756,0.7619738751814223,1.1615455414350948,stable,3.3333,2.756,1.2094823415578133,60.0,saturated,2.5667,1.8373,1.3969521044992743,60.0,saturated,3.0667,2.2967,1.3352685050798259,60.0,saturated,3.8667,2.756,1.4029995162070632,60.0,saturated,4.5,3.2153,1.3995438523740409,60.0,saturated,4.6333,3.2153,1.441011818370309,60.0,saturated,6.0,4.134,1.4513788098693758,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-02,6,59,10,165,8,165,9,173,7,158,9,239,7.0,183.0,8.0,180.0,7.0,88.0,0.0,0.0,71.0,1410.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,256.3636363636364,12.909090909090908,02042022_limpio.csv,2,4,2022,Saturday,1,0.9833,2.756,0.35679729075955485,0.20127714785232503,stable,2.75,4.5933,0.5986937590711175,0.3247886577239335,stable,2.75,3.6747,0.7483671988388969,0.8093372734378839,stable,2.8833,4.134,0.6974681502983389,0.5576770924560277,stable,2.6333,3.2153,0.8189923284262907,1.407203313447234,stable,3.9833,4.134,0.9635542654410578,6.3952716732813455,stable,3.05,3.2153,0.9485797221646277,5.737377351802168,stable,3.0,3.6747,0.8164005805515239,1.2100799118846692,stable,1.4667,3.2153,0.45614762595894665,0.26085453257278685,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,3,14,1,3,3,25,7,43,6,31,10,59,11.0,37.0,12.0,74.0,0.0,0.0,0.0,0.0,53.0,286.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,52.0,9.636363636363637,02062022_limpio.csv,2,6,2022,Thursday,0,0.2333,1.378,0.16932752781809385,0.14792736850736213,stable,0.05,0.4593,0.10885341074020319,0.2659285278669459,stable,0.4167,1.378,0.30237058538945333,0.3145325090736338,stable,0.7167,3.2153,0.22289031722993985,0.08920370219981584,stable,0.5167,2.756,0.18746976294146106,0.08371677416260541,stable,0.9833,4.5933,0.2140783744557329,0.05930148876890108,stable,0.6167,5.0527,0.12204776355719751,0.027513021541297904,stable,1.2333,5.512,0.22375423318819546,0.05229531782210862,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
