date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,6,75,5,140,4,95,4,214,4,115,5.0,141.0,4.0,109.0,5.0,136.0,0.0,0.0,37.0,1025.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,186.36363636363637,6.7272727272727275,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,1.25,2.44,0.5122950819672132,0.4305000688800113,stable,2.3333,2.0333,1.1475409836065575,60.0,saturated,1.5833,1.6267,0.973360655737705,22.46216897856248,stable,3.5667,1.6267,2.1926229508196724,60.0,saturated,1.9167,1.6267,1.1782786885245904,60.0,saturated,2.35,2.0333,1.1557377049180328,60.0,saturated,1.8167,1.6267,1.1168032786885247,60.0,saturated,2.2667,2.0333,1.1147540983606559,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,4,22,8,44,6,24,4,25,5,24,7.0,33.0,5.0,25.0,0.0,0.0,0.0,0.0,39.0,197.0,False,Ninguno,28.0,16.0,Overcast,0,35.81818181818182,7.090909090909091,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.3667,1.6267,0.22540983606557377,0.17889669529013796,stable,0.7333,3.2533,0.22540983606557377,0.08944834764506898,stable,0.4,2.44,0.16393442622950824,0.0803600128576021,stable,0.4167,1.6267,0.2561475409836066,0.2116921826310799,stable,0.4,2.0333,0.19672131147540986,0.1204416192706591,stable,0.55,2.8467,0.193208430913349,0.08412558675472381,stable,0.4167,2.0333,0.20491803278688528,0.12675342234240328,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,4,33,4,114,5,155,5,121,4,103,4,108,5.0,134.0,5.0,143.0,5.0,125.0,0.0,0.0,41.0,1036.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,188.36363636363637,7.454545454545454,01052022_limpio.csv,1,5,2022,Sunday,0,0.55,1.6267,0.3381147540983607,0.3140384712987871,stable,1.9,1.6267,1.168032786885246,60.0,saturated,2.5833,2.0333,1.2704918032786887,60.0,saturated,2.0167,2.0333,0.9918032786885246,59.508196721311684,stable,1.7167,1.6267,1.055327868852459,60.0,saturated,1.8,1.6267,1.1065573770491806,60.0,saturated,2.2333,2.0333,1.098360655737705,60.0,saturated,2.3833,2.0333,1.1721311475409837,60.0,saturated,2.0833,2.0333,1.0245901639344264,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-07-01,2,56,5,137,5,146,5,143,5,147,5,146,6.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,942.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,171.27272727272728,6.0,01072022_limpio.csv,1,7,2022,Friday,0,0.9333,0.8133,1.1475409836065575,60.0,saturated,2.2833,2.0333,1.1229508196721312,60.0,saturated,2.4333,2.0333,1.1967213114754098,60.0,saturated,2.3833,2.0333,1.1721311475409837,60.0,saturated,2.45,2.0333,1.2049180327868854,60.0,saturated,2.4333,2.0333,1.1967213114754098,60.0,saturated,2.7833,2.44,1.1407103825136613,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,0,0,4,19,6,61,6,43,6,37,5,17,6.0,30.0,6.0,35.0,0.0,0.0,0.0,0.0,39.0,242.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,44.0,7.090909090909091,01092022_limpio.csv,1,9,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,0.3167,1.6267,0.194672131147541,0.1486046802652985,stable,1.0167,2.44,0.41666666666666674,0.29274004683840765,stable,0.7167,2.44,0.29371584699453557,0.17043472746298008,stable,0.6167,2.44,0.25273224043715853,0.13861000389606506,stable,0.2833,2.0333,0.13934426229508198,0.07962529274004684,stable,0.5,2.44,0.20491803278688528,0.10562785195200275,stable,0.5833,2.44,0.2390710382513662,0.1287635753598023,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,7,58,4,132,5,175,5,178,6,196,5,176,6.0,178.0,5.0,164.0,0.0,0.0,6.0,61.0,78.0,1944.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,296.54545454545456,11.545454545454543,01102022_limpio.csv,1,10,2022,Saturday,0,0.9667,2.8467,0.33957845433255274,0.18062683741093236,stable,2.2,1.6267,1.352459016393443,60.0,saturated,2.9167,2.0333,1.4344262295081966,60.0,saturated,2.9667,2.0333,1.459016393442623,60.0,saturated,3.2667,2.44,1.3387978142076504,60.0,saturated,2.9333,2.0333,1.4426229508196722,60.0,saturated,2.9667,2.44,1.2158469945355195,60.0,saturated,2.7333,2.0333,1.3442622950819674,60.0,saturated,0.0,0.0,0.0,0.0,Closed,1.0167,2.44,0.41666666666666674,0.29274004683840765,stable
2022-12-01,3,15,9,88,7,32,11,60,8,77,7,121,8.0,79.0,9.0,98.0,0.0,0.0,0.0,0.0,62.0,570.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,103.63636363636364,11.272727272727272,01122022_limpio.csv,1,12,2022,Thursday,1,0.25,1.22,0.20491803278688528,0.2112557039040055,stable,1.4667,3.66,0.4007285974499089,0.1827030079558855,stable,0.5333,2.8467,0.1873536299765808,0.08098860085442976,stable,1.0,4.4733,0.2235469448584203,0.06436092462334558,stable,1.2833,3.2533,0.3944672131147542,0.20023716401764177,stable,2.0167,2.8467,0.7084309133489463,0.8535312209023452,stable,1.3167,3.2533,0.4047131147540984,0.2089740695804295,stable,1.6333,3.66,0.44626593806921677,0.220197008915732,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,5,78,5,137,5,134,5,121,5,135,4,108,4.0,102.0,6.0,160.0,5.0,135.0,0.0,0.0,44.0,1110.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,201.8181818181818,8.0,02012022_limpio.csv,2,1,2022,Sunday,0,1.3,2.0333,0.639344262295082,0.8718330849478394,stable,2.2833,2.0333,1.1229508196721312,60.0,saturated,2.2333,2.0333,1.098360655737705,60.0,saturated,2.0167,2.0333,0.9918032786885246,59.508196721311684,stable,2.25,2.0333,1.1065573770491803,60.0,saturated,1.8,1.6267,1.1065573770491806,60.0,saturated,1.7,1.6267,1.0450819672131149,60.0,saturated,2.6667,2.44,1.092896174863388,60.0,saturated,2.25,2.0333,1.1065573770491803,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-02,4,33,5,101,5,92,4,120,5,115,5,91,5.0,123.0,6.0,179.0,6.0,63.0,0.0,0.0,45.0,917.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,166.72727272727272,8.181818181818182,02042022_limpio.csv,2,4,2022,Saturday,1,0.55,1.6267,0.3381147540983607,0.3140384712987871,stable,1.6833,2.0333,0.8278688524590164,2.365339578454334,stable,1.5333,2.0333,0.7540983606557378,1.5081967213114762,stable,2.0,1.6267,1.2295081967213115,60.0,saturated,1.9167,2.0333,0.9426229508196722,8.079625292740062,stable,1.5167,2.0333,0.7459016393442623,1.4436805922792175,stable,2.05,2.0333,1.0081967213114753,60.0,saturated,2.9833,2.44,1.2226775956284155,60.0,saturated,1.05,2.44,0.4303278688524591,0.30958839485788436,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,3,13,3,12,4,28,6,29,7,21,7,32,4.0,12.0,6.0,25.0,0.0,0.0,0.0,0.0,40.0,172.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,31.272727272727273,7.272727272727272,02062022_limpio.csv,2,6,2022,Thursday,0,0.2167,1.22,0.17759562841530058,0.1770056097162465,stable,0.2,1.22,0.16393442622950824,0.1607200257152042,stable,0.4667,1.6267,0.2868852459016394,0.24731486715658574,stable,0.4833,2.44,0.19808743169398912,0.10123718825927897,stable,0.35,2.8467,0.12295081967213116,0.0492459891877695,stable,0.5333,2.8467,0.1873536299765808,0.08098860085442976,stable,0.2,1.6267,0.12295081967213117,0.08618048107859662,stable,0.4167,2.44,0.17076502732240442,0.08439787182326414,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
