date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,8,111,6,111,9,172,9,165,9,166,9.0,166.0,9.0,159.0,9.0,163.0,0.0,0.0,68.0,1213.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,220.54545454545453,12.363636363636363,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,1.85,3.136,0.5899234693877551,0.45872742565144253,stable,1.85,2.352,0.7865646258503403,1.5668618044827503,stable,2.8667,3.528,0.8125472411186697,1.2286500621754077,stable,2.75,3.528,0.7794784580498866,1.0019003316836588,stable,2.7667,3.528,0.7842025699168557,1.0300384018172357,stable,2.7667,3.528,0.7842025699168557,1.0300384018172357,stable,2.65,3.528,0.7511337868480725,0.8555054519909709,stable,2.7167,3.528,0.7700302343159486,0.949092318384489,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,9,137,9,161,10,159,9,129,10,162,9.0,150.0,7.0,115.0,0.0,0.0,0.0,0.0,63.0,1013.0,False,Ninguno,28.0,16.0,Overcast,0,184.1818181818182,11.454545454545457,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,2.2833,3.528,0.6472033257747543,0.5199812472748426,stable,2.6833,3.528,0.7605820105820105,0.9004522619360816,stable,2.65,3.92,0.6760204081632653,0.5322995339868231,stable,2.15,3.528,0.6094104308390023,0.4422426929165473,stable,2.7,3.92,0.6887755102040817,0.5645700903312146,stable,2.5,3.528,0.7086167800453514,0.6893159338962562,stable,1.9167,2.744,0.6984936831875608,0.8442711722653841,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,10,180,10,205,10,208,10,214,10,207,10,205,10.0,205.0,10.0,199.0,10.0,217.0,0.0,0.0,90.0,1840.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,334.54545454545456,16.363636363636363,01052022_limpio.csv,1,5,2022,Sunday,0,3.0,3.92,0.7653061224489796,0.8318544809228039,stable,3.4167,3.92,0.8715986394557823,1.7316529260710904,stable,3.4667,3.92,0.8843537414965987,1.9507803121248508,stable,3.5667,3.92,0.9098639455782314,2.575086638428959,stable,3.45,3.92,0.8801020408163266,1.8725575336517597,stable,3.4167,3.92,0.8715986394557823,1.7316529260710904,stable,3.4167,3.92,0.8715986394557823,1.7316529260710904,stable,3.3167,3.92,0.8460884353741497,1.4023565227195858,stable,3.6167,3.92,0.9226190476190477,3.041601255886971,stable,0.0,0.0,0.0,0.0,Closed
2022-07-01,9,171,9,198,9,202,9,204,8,189,9,206,8.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1357.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,246.72727272727272,11.090909090909092,01072022_limpio.csv,1,7,2022,Friday,0,2.85,3.528,0.8078231292517007,1.1914795416691752,stable,3.3,3.528,0.9353741496598639,4.102518200262557,stable,3.3667,3.528,0.95427059712774,5.914900395419876,stable,3.4,3.528,0.9637188208616779,7.529053287981852,stable,3.15,3.136,1.0044642857142856,90.0,saturated,3.4333,3.528,0.973167044595616,10.279933569671973,stable,3.1167,3.136,0.9938350340136054,51.405260380013836,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,4,14,10,140,9,166,10,169,10,147,8,114,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,54.0,773.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,140.54545454545453,9.818181818181818,01092022_limpio.csv,1,9,2022,Thursday,0,0.2333,1.568,0.1488095238095238,0.11149564720993291,stable,2.3333,3.92,0.5952380952380952,0.3751500600240097,stable,2.7667,3.528,0.7842025699168557,1.0300384018172357,stable,2.8167,3.92,0.7185374149659864,0.6512423700598067,stable,2.45,3.92,0.6250000000000001,0.425170068027211,stable,1.9,3.136,0.6058673469387754,0.4901839376527309,stable,0.0,0.0,0.0,0.0,Closed,0.3833,1.176,0.3259637188208617,0.41122420372690716,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,7,66,7,162,7,164,6,139,6,142,8,189,6.0,140.0,10.0,234.0,0.0,0.0,0.0,0.0,57.0,1236.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,224.72727272727272,10.363636363636363,01102022_limpio.csv,1,10,2022,Saturday,0,1.1,2.744,0.40087463556851316,0.24384101920225867,stable,2.7,2.744,0.9839650145772596,22.36284124039247,stable,2.7333,2.744,0.9961127308066084,90.0,stable,2.3167,2.352,0.9849773242630387,27.876716724425894,stable,2.3667,2.352,1.0062358276643992,90.0,saturated,3.15,3.136,1.0044642857142856,90.0,saturated,2.3333,2.352,0.9920634920634922,53.146258503402166,stable,3.9,3.92,0.9948979591836735,49.74489795918363,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-12-01,5,89,9,200,8,180,10,224,9,195,10,217,11.0,228.0,10.0,207.0,0.0,0.0,0.0,0.0,72.0,1540.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,280.0,13.090909090909092,01122022_limpio.csv,1,12,2022,Thursday,1,1.4833,1.96,0.7568027210884354,1.5876980162694452,stable,3.3333,3.528,0.944822373393802,4.853539589351725,stable,3.0,3.136,0.9566326530612245,7.034063625450174,stable,3.7333,3.92,0.9523809523809524,5.102040816326534,stable,3.25,3.528,0.921201814058957,3.3136755901401322,stable,3.6167,3.92,0.9226190476190477,3.041601255886971,stable,3.8,4.312,0.8812615955473099,1.7212140538033411,stable,3.45,3.92,0.8801020408163266,1.8725575336517597,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,5,80,9,163,9,172,9,175,9,167,9,166,9.0,167.0,9.0,164.0,9.0,181.0,0.0,0.0,77.0,1435.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,260.90909090909093,14.0,02012022_limpio.csv,2,1,2022,Sunday,0,1.3333,1.96,0.6802721088435374,1.0855405992184108,stable,2.7167,3.528,0.7700302343159486,0.949092318384489,stable,2.8667,3.528,0.8125472411186697,1.2286500621754077,stable,2.9167,3.528,0.8267195767195766,1.3523220993231895,stable,2.7833,3.528,0.7889266817838246,1.0594360095575082,stable,2.7667,3.528,0.7842025699168557,1.0300384018172357,stable,2.7833,3.528,0.7889266817838246,1.0594360095575082,stable,2.7333,3.528,0.7747543461829176,0.9749425497268259,stable,3.0167,3.528,0.8550642479213908,1.67222473517873,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,7,123,10,204,8,158,10,202,9,176,10,211,10.0,220.0,11.0,234.0,12.0,254.0,0.0,0.0,87.0,1782.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,324.0,15.818181818181818,02042022_limpio.csv,2,4,2022,Saturday,1,2.05,2.744,0.7470845481049563,1.0764907033212627,stable,3.4,3.92,0.8673469387755102,1.6679748822605964,stable,2.6333,3.136,0.8397108843537414,1.6705123694039943,stable,3.3667,3.92,0.858843537414966,1.5521268748463244,stable,2.9333,3.528,0.8314436885865457,1.3981676377576435,stable,3.5167,3.92,0.8971088435374149,2.22423680215888,stable,3.6667,3.92,0.9353741496598639,3.692266380236304,stable,3.9,4.312,0.9044526901669759,2.19527351982276,stable,4.2333,4.704,0.8999433106575965,1.9120608583376708,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,4,29,10,90,10,86,8,99,8,70,8,86,8.0,79.0,5.0,54.0,0.0,0.0,0.0,0.0,61.0,593.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,107.8181818181818,11.090909090909092,02062022_limpio.csv,2,6,2022,Thursday,0,0.4833,1.568,0.30824829931972786,0.28418712291308657,stable,1.5,3.92,0.3826530612244898,0.15812109967954124,stable,1.4333,3.92,0.3656462585034014,0.14704273130163595,stable,1.65,3.136,0.5261479591836734,0.3540699590738044,stable,1.1667,3.136,0.37202380952380953,0.18890850178934132,stable,1.4333,3.136,0.4570578231292517,0.26843646620746964,stable,1.3167,3.136,0.4198554421768707,0.23077433611773765,stable,0.9,1.96,0.45918367346938777,0.43319214478244134,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
