date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,8,42,10,72,10,98,11,113,11,118,10.0,95.0,10.0,109.0,10.0,121.0,0.0,0.0,80.0,768.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,139.63636363636363,14.545454545454543,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,0.7,1.36,0.5147058823529412,0.7798573975044564,stable,1.2,1.7,0.7058823529411765,1.411764705882353,stable,1.6333,1.7,0.9607843137254902,14.411764705882357,stable,1.8833,1.87,1.0071301247771836,60.0,saturated,1.9667,1.87,1.0516934046345812,60.0,saturated,1.5833,1.7,0.9313725490196079,7.983193277310922,stable,1.8167,1.7,1.0686274509803921,60.0,saturated,2.0167,1.7,1.1862745098039216,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,9,37,11,65,11,40,14,22,10,44,12.0,36.0,12.0,41.0,0.0,0.0,0.0,0.0,79.0,285.0,False,Ninguno,28.0,16.0,Overcast,0,51.81818181818182,14.363636363636363,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.6167,1.53,0.4030501089324619,0.4412957397070751,stable,1.0833,1.87,0.5793226381461676,0.7364270823891961,stable,0.6667,1.87,0.35650623885918004,0.29626557245915247,stable,0.3667,2.38,0.15406162464985995,0.07652067449496354,stable,0.7333,1.7,0.4313725490196078,0.4462474645030426,stable,0.6,2.04,0.29411764705882354,0.2042483660130719,stable,0.6833,2.04,0.3349673202614379,0.24690465866936454,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,8,47,11,98,11,115,11,124,12,135,11,113,11.0,119.0,11.0,120.0,12.0,132.0,0.0,0.0,98.0,1003.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,182.36363636363637,17.818181818181817,01052022_limpio.csv,1,5,2022,Sunday,0,0.7833,1.36,0.5759803921568628,0.998809928595716,stable,1.6333,1.87,0.8734402852049912,3.690592754387288,stable,1.9167,1.87,1.0249554367201428,60.0,saturated,2.0667,1.87,1.1051693404634584,60.0,saturated,2.25,2.04,1.1029411764705883,60.0,saturated,1.8833,1.87,1.0071301247771836,60.0,saturated,1.9833,1.87,1.0606060606060608,60.0,saturated,2.0,1.87,1.0695187165775402,60.0,saturated,2.2,2.04,1.0784313725490198,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-07-01,7,61,10,98,10,120,10,160,10,161,10,158,10.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,927.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,168.54545454545453,12.181818181818182,01072022_limpio.csv,1,7,2022,Friday,0,1.0167,1.19,0.8543417366946778,4.928894634776988,stable,1.6333,1.7,0.9607843137254902,14.411764705882357,stable,2.0,1.7,1.1764705882352942,60.0,saturated,2.6667,1.7,1.5686274509803921,60.0,saturated,2.6833,1.7,1.5784313725490196,60.0,saturated,2.6333,1.7,1.5490196078431373,60.0,saturated,2.8167,1.7,1.6568627450980393,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,4,10,8,32,12,49,12,49,12,52,12,40,5.0,18.0,7.0,22.0,0.0,0.0,0.0,0.0,72.0,272.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,49.45454545454545,13.090909090909092,01092022_limpio.csv,1,9,2022,Thursday,0,0.1667,0.68,0.2450980392156863,0.4774637127578304,stable,0.5333,1.36,0.3921568627450981,0.47438330170778004,stable,0.8167,2.04,0.4003267973856209,0.3272426136667201,stable,0.8167,2.04,0.4003267973856209,0.3272426136667201,stable,0.8667,2.04,0.42483660130718953,0.3620766488413547,stable,0.6667,2.04,0.326797385620915,0.23795926137445264,stable,0.3,0.85,0.35294117647058826,0.641711229946524,stable,0.3667,1.19,0.3081232492997199,0.3742387643316436,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,11,90,11,129,10,119,11,131,13,142,12,136,11.0,144.0,10.0,111.0,0.0,0.0,8.0,28.0,139.0,1334.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,214.9090909090909,21.454545454545453,01102022_limpio.csv,1,10,2022,Saturday,0,1.5,1.87,0.8021390374331552,2.1679433444139335,stable,2.15,1.87,1.1497326203208555,60.0,saturated,1.9833,1.7,1.1666666666666667,60.0,saturated,2.1833,1.87,1.1675579322638145,60.0,saturated,2.3667,2.21,1.0708898944193062,60.0,saturated,2.2667,2.04,1.1111111111111112,60.0,saturated,2.4,1.87,1.2834224598930482,60.0,saturated,1.85,1.7,1.0882352941176472,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.4667,1.36,0.34313725490196084,0.38410886742756817,stable
2022-12-01,6,21,11,74,16,88,13,83,11,67,14,95,13.0,64.0,14.0,95.0,0.0,0.0,0.0,0.0,98.0,587.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,106.72727272727272,17.818181818181817,01122022_limpio.csv,1,12,2022,Thursday,1,0.35,1.02,0.34313725490196073,0.5121451565700906,stable,1.2333,1.87,0.6595365418894832,1.0359212699834817,stable,1.4667,2.72,0.5392156862745098,0.4302252816020026,stable,1.3833,2.21,0.6259426847662142,0.7571887315720333,stable,1.1167,1.87,0.5971479500891266,0.7926742700298143,stable,1.5833,2.38,0.665266106442577,0.8350620582961218,stable,1.0667,2.21,0.48265460030165913,0.4221468807303141,stable,1.5833,2.38,0.665266106442577,0.8350620582961218,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,6,43,9,85,9,85,8,83,9,81,9,95,9.0,92.0,9.0,100.0,9.0,105.0,0.0,0.0,77.0,769.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,139.8181818181818,14.0,02012022_limpio.csv,2,1,2022,Sunday,0,0.7167,1.02,0.7026143790849673,2.3163111398405514,stable,1.4167,1.53,0.9259259259259259,8.169934640522879,stable,1.4167,1.53,0.9259259259259259,8.169934640522879,stable,1.3833,1.36,1.0171568627450982,60.0,saturated,1.35,1.53,0.8823529411764707,4.901960784313728,stable,1.5833,1.53,1.0348583877995643,60.0,saturated,1.5333,1.53,1.002178649237473,60.0,saturated,1.6667,1.53,1.0893246187363834,60.0,saturated,1.75,1.53,1.1437908496732025,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-02,7,39,13,80,12,97,10,80,10,72,13,115,11.0,104.0,11.0,85.0,10.0,41.0,0.0,0.0,97.0,713.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,129.63636363636363,17.636363636363637,02042022_limpio.csv,2,4,2022,Saturday,1,0.65,1.19,0.546218487394958,1.0115157173980707,stable,1.3333,2.21,0.6033182503770739,0.6881957228635823,stable,1.6167,2.04,0.7924836601307189,1.8720086459780763,stable,1.3333,1.7,0.7843137254901961,2.13903743315508,stable,1.2,1.7,0.7058823529411765,1.411764705882353,stable,1.9167,2.21,0.8672699849170438,2.956602221308105,stable,1.7333,1.87,0.9269162210338682,6.782313812442946,stable,1.4167,1.87,0.7575757575757577,1.6711229946524073,stable,0.6833,1.7,0.4019607843137255,0.39537126325940214,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,3,8,10,21,10,25,4,18,10,25,9,33,7.0,16.0,7.0,13.0,0.0,0.0,0.0,0.0,60.0,159.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,28.90909090909091,10.909090909090908,02062022_limpio.csv,2,6,2022,Thursday,0,0.1333,0.51,0.26143790849673204,0.6940829429116778,stable,0.35,1.7,0.20588235294117646,0.15250544662309368,stable,0.4167,1.7,0.2450980392156863,0.1909854851031322,stable,0.3,0.68,0.44117647058823534,1.1609907120743035,stable,0.4167,1.7,0.2450980392156863,0.1909854851031322,stable,0.55,1.53,0.35947712418300654,0.36681339202347607,stable,0.2667,1.19,0.22408963585434175,0.24269635652094773,stable,0.2167,1.19,0.18207282913165268,0.1870611258201911,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
