date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,14,221,13,193,14,218,14,214,13,207,14.0,203.0,14.0,212.0,6.0,92.0,0.0,0.0,102.0,1560.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,283.6363636363636,18.545454545454547,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,3.6833,4.6433,0.7932519741564968,0.8263041397463514,stable,3.2167,4.3117,0.7460378817162737,0.6813131339874647,stable,3.6333,4.6433,0.7824838478104811,0.7747364829806749,stable,3.5667,4.6433,0.7681263460157934,0.7134300427391277,stable,3.45,4.3117,0.8001546192500967,0.9286127109285459,stable,3.3833,4.6433,0.7286432160804021,0.5782882667304782,stable,3.5333,4.6433,0.7609475951184494,0.6855383739805854,stable,1.5333,1.99,0.7705192629815747,1.6872684590837412,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,10,111,11,142,9,115,11,131,13,167,11.0,91.0,12.0,96.0,0.0,0.0,0.0,0.0,77.0,853.0,False,Ninguno,28.0,16.0,Overcast,0,155.0909090909091,14.0,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,1.85,3.3167,0.5577889447236181,0.38031064412973953,stable,2.3667,3.6483,0.6486980356327091,0.5061363086861191,stable,1.9167,2.985,0.6420993858179789,0.6010290662882798,stable,2.1833,3.6483,0.598446779351302,0.4084960951203427,stable,2.7833,4.3117,0.6455353691534595,0.42237864939157665,stable,1.5167,3.6483,0.41571493832800366,0.19501873572853967,stable,1.6,3.98,0.40201005025125636,0.16891178581985564,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,10,175,13,239,12,219,11,203,10,186,12,223,10.0,187.0,10.0,188.0,11.0,204.0,0.0,0.0,99.0,1824.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,331.6363636363636,18.0,01052022_limpio.csv,1,5,2022,Sunday,0,2.9167,3.3167,0.879396984924623,2.1984924623115556,stable,3.9833,4.3117,0.9238500193274063,2.8137564040428638,stable,3.65,3.98,0.9170854271356784,2.7790467488959987,stable,3.3833,3.6483,0.927364093193239,3.4994871441254345,stable,3.1,3.3167,0.9346733668341708,4.313877077696171,stable,3.7167,3.98,0.9338358458961475,3.546212073023353,stable,3.1167,3.3167,0.9396984924623115,4.698492462311553,stable,3.1333,3.3167,0.9447236180904522,5.153037916857006,stable,3.4,3.6483,0.9319323892188215,3.7527478760489497,stable,0.0,0.0,0.0,0.0,Closed
2022-07-01,9,139,10,181,10,188,9,173,10,191,10,188,10.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1246.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,226.54545454545453,12.363636363636363,01072022_limpio.csv,1,7,2022,Friday,0,2.3167,2.985,0.776102735901731,1.1612509764115682,stable,3.0167,3.3167,0.9095477386934673,3.031825795644888,stable,3.1333,3.3167,0.9447236180904522,5.153037916857006,stable,2.8833,2.985,0.9659408151870463,9.50105719856112,stable,3.1833,3.3167,0.9597989949748742,7.198492462311535,stable,3.1333,3.3167,0.9447236180904522,5.153037916857006,stable,3.1,3.3167,0.9346733668341708,4.313877077696171,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,3,20,11,126,12,192,12,173,12,145,17,192,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,870.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,158.1818181818182,12.545454545454543,01092022_limpio.csv,1,9,2022,Thursday,0,0.3333,0.995,0.33500837520938026,0.5063098869663177,stable,2.1,3.6483,0.5756052992233898,0.37175799734556936,stable,3.2,3.98,0.8040201005025127,1.030795000644248,stable,2.8833,3.98,0.7244556113902848,0.6605978219364302,stable,2.4167,3.98,0.6072026800670017,0.3884025672070374,stable,3.2,5.6383,0.5675436003547149,0.23275882447903556,stable,0.3667,0.6633,0.5527638190954773,1.8632488284117212,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,11,186,12,221,14,258,13,252,12,224,13,288,13.0,251.0,13.0,251.0,0.0,0.0,12.0,182.0,165.0,3026.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,467.1818181818182,25.272727272727273,01102022_limpio.csv,1,10,2022,Saturday,0,3.1,3.6483,0.8497030607583372,1.549610445151984,stable,3.6833,3.98,0.9254606365159129,3.1195302354469003,stable,4.3,4.6433,0.9260588657573583,2.6972588323029894,stable,4.2,4.3117,0.9741012756088133,8.723295005452083,stable,3.7333,3.98,0.9380234505862648,3.8027977726470277,stable,4.8,4.3117,1.1132586006957865,60.0,saturated,4.1833,4.3117,0.9702357943563975,7.560278917062859,stable,4.1833,4.3117,0.9702357943563975,7.560278917062859,stable,0.0,0.0,0.0,0.0,Closed,3.0333,3.98,0.7621440536013401,0.8050817467619793,stable
2022-12-01,8,74,15,251,15,284,15,284,15,232,15,261,15.0,269.0,15.0,219.0,0.0,0.0,0.0,0.0,113.0,1874.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,340.72727272727275,20.545454545454547,01122022_limpio.csv,1,12,2022,Thursday,1,1.2333,2.6533,0.4648241206030151,0.32734093000212333,stable,4.1833,4.975,0.8408710217755445,1.0621528696112148,stable,4.7333,4.975,0.9514237855946399,3.9369260093571374,stable,4.7333,4.975,0.9514237855946399,3.9369260093571374,stable,3.8667,4.975,0.7772194304857623,0.7012506139721165,stable,4.35,4.975,0.8743718592964824,1.3989949748743717,stable,4.4833,4.975,0.9011725293132329,1.8328932799591195,stable,3.65,4.975,0.7336683417085428,0.5537119560064475,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,12,192,14,211,14,223,14,228,14,237,14,223,14.0,218.0,14.0,242.0,14.0,249.0,0.0,0.0,124.0,2023.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,367.8181818181818,22.545454545454547,02012022_limpio.csv,2,1,2022,Sunday,0,3.2,3.98,0.8040201005025127,1.030795000644248,stable,3.5167,4.6433,0.7573582196697776,0.6722114375767261,stable,3.7167,4.6433,0.8004307250538408,0.8637741637271671,stable,3.8,4.6433,0.8183776022972004,0.9704082240678271,stable,3.95,4.6433,0.8506819813352479,1.2269451653873782,stable,3.7167,4.6433,0.8004307250538408,0.8637741637271671,stable,3.6333,4.6433,0.7824838478104811,0.7747364829806749,stable,4.0333,4.6433,0.8686288585786074,1.4239817353747677,stable,4.15,4.6433,0.893754486719311,1.8116645001067153,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,11,148,13,230,13,228,13,212,13,226,13,219,13.0,218.0,13.0,223.0,13.0,224.0,0.0,0.0,115.0,1928.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,350.54545454545456,20.90909090909091,02042022_limpio.csv,2,4,2022,Saturday,1,2.4667,3.6483,0.6761078117862038,0.5721645797908639,stable,3.8333,4.3117,0.889060688055663,1.8586634593498192,stable,3.8,4.3117,0.8813297255508311,1.722468518991852,stable,3.5333,4.3117,0.8194820255121763,1.0528676987308474,stable,3.7667,4.3117,0.8735987630459993,1.6029335101761455,stable,3.65,4.3117,0.8465403942790878,1.279406137449503,stable,3.6333,4.3117,0.8426749130266719,1.2422725990565189,stable,3.7167,4.3117,0.8620023192887515,1.448743393762608,stable,3.7333,4.3117,0.8658678005411674,1.49717775309712,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,0,0,8,97,7,99,10,109,9,70,9,122,8.0,58.0,9.0,42.0,0.0,0.0,0.0,0.0,60.0,597.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,108.54545454545456,10.909090909090908,02062022_limpio.csv,2,6,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,1.6167,2.6533,0.6092964824120604,0.587745802969833,stable,1.65,2.3217,0.7106963388370424,1.0581086930576318,stable,1.8167,3.3167,0.5477386934673366,0.36515912897822433,stable,1.1667,2.985,0.39084310441094366,0.21494579527641267,stable,2.0333,2.985,0.6811836962590732,0.715779715858921,stable,0.9667,2.6533,0.36432160804020103,0.2160009533835184,stable,0.7,2.985,0.23450586264656617,0.10262838627858474,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
