date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,7,146,7,161,7,166,7,165,7,163,7.0,164.0,7.0,164.0,7.0,167.0,0.0,0.0,56.0,1296.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,235.63636363636363,10.181818181818182,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,2.4333,2.24,1.0863095238095235,60.0,saturated,2.6833,2.24,1.1979166666666663,60.0,saturated,2.7667,2.24,1.2351190476190472,60.0,saturated,2.75,2.24,1.2276785714285712,60.0,saturated,2.7167,2.24,1.2127976190476188,60.0,saturated,2.7333,2.24,1.220238095238095,60.0,saturated,2.7333,2.24,1.220238095238095,60.0,saturated,2.7833,2.24,1.2425595238095235,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,10,61,8,148,7,131,8,135,8,144,8.0,141.0,7.0,132.0,0.0,0.0,0.0,0.0,56.0,892.0,False,Ninguno,28.0,16.0,Overcast,0,162.1818181818182,10.181818181818182,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,1.0167,3.2,0.31770833333333326,0.14551526717557245,stable,2.4667,2.56,0.9635416666666665,10.323660714285671,stable,2.1833,2.24,0.9747023809523806,17.20063025210057,stable,2.25,2.56,0.8789062499999998,2.835181451612898,stable,2.4,2.56,0.9374999999999998,5.859374999999977,stable,2.35,2.56,0.9179687499999999,4.371279761904752,stable,2.2,2.24,0.982142857142857,24.55357142857113,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,7,149,7,159,8,176,7,155,7,155,7,154,7.0,158.0,8.0,181.0,8.0,185.0,0.0,0.0,66.0,1472.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,267.6363636363636,12.0,01052022_limpio.csv,1,5,2022,Sunday,0,2.4833,2.24,1.108630952380952,60.0,saturated,2.65,2.24,1.183035714285714,60.0,saturated,2.9333,2.56,1.145833333333333,60.0,saturated,2.5833,2.24,1.1532738095238093,60.0,saturated,2.5833,2.24,1.1532738095238093,60.0,saturated,2.5667,2.24,1.145833333333333,60.0,saturated,2.6333,2.24,1.1755952380952377,60.0,saturated,3.0167,2.56,1.1783854166666665,60.0,saturated,3.0833,2.56,1.2044270833333333,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-07-01,4,79,7,166,7,166,7,164,7,165,7,166,7.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1074.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,195.27272727272728,8.363636363636363,01072022_limpio.csv,1,7,2022,Friday,0,1.3167,1.28,1.028645833333333,60.0,saturated,2.7667,2.24,1.2351190476190472,60.0,saturated,2.7667,2.24,1.2351190476190472,60.0,saturated,2.7333,2.24,1.220238095238095,60.0,saturated,2.75,2.24,1.2276785714285712,60.0,saturated,2.7667,2.24,1.2351190476190472,60.0,saturated,2.8,2.24,1.2499999999999996,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,0,0,0,0,0,0,8,166,8,183,8,144,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,530.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,96.36363636363636,4.909090909090909,01092022_limpio.csv,1,9,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,2.7667,2.56,1.0807291666666665,60.0,saturated,3.05,2.56,1.1914062499999998,60.0,saturated,2.4,2.56,0.9374999999999998,5.859374999999977,stable,0.6167,0.96,0.642361111111111,1.8709546925566332,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,0,0,0,0,4,89,7,160,7,160,7,158,7.0,158.0,7.0,156.0,0.0,0.0,4.0,82.0,75.0,1665.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,238.9090909090909,10.727272727272728,01102022_limpio.csv,1,10,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,1.4833,1.28,1.1588541666666665,60.0,saturated,2.6667,2.24,1.19047619047619,60.0,saturated,2.6667,2.24,1.19047619047619,60.0,saturated,2.6333,2.24,1.1755952380952377,60.0,saturated,2.6333,2.24,1.1755952380952377,60.0,saturated,2.6,2.24,1.1607142857142854,60.0,saturated,0.0,0.0,0.0,0.0,Closed,1.3667,1.28,1.0677083333333333,60.0,saturated
2022-12-01,6,95,8,126,8,167,7,84,7,136,7,146,8.0,172.0,8.0,172.0,0.0,0.0,0.0,0.0,59.0,1098.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,199.63636363636363,10.727272727272728,01122022_limpio.csv,1,12,2022,Thursday,1,1.5833,1.92,0.8246527777777776,2.4494636963696332,stable,2.1,2.56,0.8203124999999999,1.783288043478259,stable,2.7833,2.56,1.087239583333333,60.0,saturated,1.4,2.24,0.6249999999999998,0.7440476190476182,stable,2.2667,2.24,1.0119047619047616,60.0,saturated,2.4333,2.24,1.0863095238095235,60.0,saturated,2.8667,2.56,1.1197916666666665,60.0,saturated,2.8667,2.56,1.1197916666666665,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,6,123,7,164,9,207,7,162,7,166,7,160,7.0,160.0,7.0,166.0,8.0,188.0,0.0,0.0,65.0,1496.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,272.0,11.818181818181818,02012022_limpio.csv,2,1,2022,Sunday,0,2.05,1.92,1.067708333333333,60.0,saturated,2.7333,2.24,1.220238095238095,60.0,saturated,3.45,2.88,1.1979166666666665,60.0,saturated,2.7,2.24,1.2053571428571426,60.0,saturated,2.7667,2.24,1.2351190476190472,60.0,saturated,2.6667,2.24,1.19047619047619,60.0,saturated,2.6667,2.24,1.19047619047619,60.0,saturated,2.7667,2.24,1.2351190476190472,60.0,saturated,3.1333,2.56,1.223958333333333,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-04-02,7,109,7,148,8,166,7,149,7,150,7,147,8.0,169.0,8.0,166.0,8.0,168.0,0.0,0.0,67.0,1372.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,249.45454545454547,12.181818181818182,02042022_limpio.csv,2,4,2022,Saturday,1,1.8167,2.24,0.8110119047619045,1.9157761529808737,stable,2.4667,2.24,1.1011904761904758,60.0,saturated,2.7667,2.56,1.0807291666666665,60.0,saturated,2.4833,2.24,1.108630952380952,60.0,saturated,2.5,2.24,1.1160714285714282,60.0,saturated,2.45,2.24,1.0937499999999998,60.0,saturated,2.8167,2.56,1.1002604166666665,60.0,saturated,2.7667,2.56,1.0807291666666665,60.0,saturated,2.8,2.56,1.0937499999999998,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-06-02,6,36,5,63,5,37,7,81,6,70,6,103,7.0,90.0,7.0,87.0,0.0,0.0,0.0,0.0,49.0,567.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,103.0909090909091,8.909090909090908,02062022_limpio.csv,2,6,2022,Thursday,0,0.6,1.92,0.31249999999999994,0.23674242424242414,stable,1.05,1.6,0.6562499999999999,1.1931818181818175,stable,0.6167,1.6,0.38541666666666663,0.3919491525423727,stable,1.35,2.24,0.6026785714285713,0.6771669341894055,stable,1.1667,1.92,0.6076388888888888,0.8066002949852503,stable,1.7167,1.92,0.894097222222222,4.3971994535519014,stable,1.5,2.24,0.669642857142857,0.9049227799227788,stable,1.45,2.24,0.6473214285714284,0.8193942133815542,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
