date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,5,73,7,119,8,146,7,123,7,120,7.0,114.0,7.0,124.0,7.0,114.0,0.0,0.0,55.0,933.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,169.63636363636363,10.0,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,1.2167,1.802,0.6751757306696262,1.1534892892989057,stable,1.9833,2.5228,0.7861635220125784,1.4572976804484263,stable,2.4333,2.8832,0.8439696633370327,1.876044005639519,stable,2.05,2.5228,0.8125891866180431,1.7186742525762306,stable,2.0,2.5228,0.7927699381639446,1.5163923836341695,stable,1.9,2.5228,0.7531314412557474,1.2092669255872617,stable,2.0667,2.5228,0.8191956027694095,1.7959564515552664,stable,1.9,2.5228,0.7531314412557474,1.2092669255872617,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,4,24,7,108,7,122,7,111,7,97,7.0,119.0,7.0,138.0,0.0,0.0,0.0,0.0,46.0,719.0,False,Ninguno,28.0,16.0,Overcast,0,130.72727272727272,8.363636363636363,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.4,1.4416,0.27746947835738067,0.26638774803895987,stable,1.8,2.5228,0.7134929443475502,0.9871236086712086,stable,2.0333,2.5228,0.805982770466677,1.646655074502879,stable,1.85,2.5228,0.7333121928016488,1.08994083353396,stable,1.6167,2.5228,0.6408223666825219,0.707205378181123,stable,1.9833,2.5228,0.7861635220125784,1.4572976804484263,stable,2.3,2.5228,0.9116854288885362,4.091945372031118,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,4,35,6,84,8,183,8,174,8,174,8,175,8.0,184.0,8.0,185.0,8.0,173.0,0.0,0.0,66.0,1367.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,248.54545454545453,12.0,01052022_limpio.csv,1,5,2022,Sunday,0,0.5833,1.4416,0.40464298927118014,0.4714653440319792,stable,1.4,2.1624,0.6474287828338882,0.8491982985754037,stable,3.05,2.8832,1.0578523862375138,60.0,saturated,2.9,2.8832,1.0058268590455048,60.0,saturated,2.9,2.8832,1.0058268590455048,60.0,saturated,2.9167,2.8832,1.0116074731779503,60.0,saturated,3.0667,2.8832,1.0636330003699592,60.0,saturated,3.0833,2.8832,1.0694136145024047,60.0,saturated,2.8833,2.8832,1.0000462449130594,60.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-07-01,5,50,5,86,7,159,7,145,8,176,8,169,8.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,958.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,174.1818181818182,8.727272727272727,01072022_limpio.csv,1,7,2022,Friday,0,0.8333,1.802,0.46244913059563447,0.4774079118330707,stable,1.4333,1.802,0.7954125046244913,2.157538439306938,stable,2.65,2.5228,1.0504201680672267,60.0,saturated,2.4167,2.5228,0.9579303419480997,9.025725583681782,stable,2.9333,2.8832,1.0173880873103955,60.0,saturated,2.8167,2.8832,0.9769237883832778,14.683223272293706,stable,2.8833,2.8832,1.0000462449130594,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,5,20,6,66,5,15,6,88,3,42,5,38,5.0,34.0,6.0,52.0,0.0,0.0,0.0,0.0,41.0,355.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,64.54545454545455,7.454545454545454,01092022_limpio.csv,1,9,2022,Thursday,0,0.3333,1.802,0.18497965223825377,0.12595073915450777,stable,1.1,2.1624,0.5086940436551979,0.47881592964532926,stable,0.25,1.802,0.13873473917869034,0.08939094019245511,stable,1.4667,2.1624,0.6782587248735971,0.9748831806347211,stable,0.7,1.0812,0.6474287828338882,1.6983965971508075,stable,0.6333,1.802,0.3514613392526822,0.30073702731262025,stable,0.5667,1.802,0.31446540880503143,0.25455915445631255,stable,0.8667,2.1624,0.4007892465162165,0.30931460679889106,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,6,38,7,119,8,108,9,147,8,129,9,146,9.0,147.0,9.0,181.0,0.0,0.0,8.0,171.0,106.0,1453.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,239.9090909090909,16.272727272727273,01102022_limpio.csv,1,10,2022,Saturday,0,0.6333,2.1624,0.2928844493772351,0.19154459106463748,stable,1.9833,2.5228,0.7861635220125784,1.4572976804484263,stable,1.8,2.8832,0.6243063263041064,0.5763536985820774,stable,2.45,3.2436,0.7553335799728697,0.9517812247642006,stable,2.15,2.8832,0.7456992230854604,1.01704749466102,stable,2.4333,3.2436,0.7501952562995847,0.9258621724941389,stable,2.45,3.2436,0.7553335799728697,0.9517812247642006,stable,3.0167,3.2436,0.9300365848645537,4.098281073139919,stable,0.0,0.0,0.0,0.0,Closed,2.85,2.8832,0.9884850166481686,29.773645079763806,stable
2022-12-01,3,12,7,62,8,151,8,129,8,167,8,137,8.0,88.0,8.0,106.0,0.0,0.0,0.0,0.0,58.0,852.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,154.9090909090909,10.545454545454543,01122022_limpio.csv,1,12,2022,Thursday,1,0.2,1.0812,0.18497965223825377,0.20991789859084625,stable,1.0333,2.5228,0.40959780138470475,0.2749962859533869,stable,2.5167,2.8832,0.8728727339992599,2.3814279756254786,stable,2.15,2.8832,0.7456992230854604,1.01704749466102,stable,2.7833,2.8832,0.9653625601183868,9.66651428689968,stable,2.2833,2.8832,0.7919441361450239,1.3202002714131305,stable,1.4667,2.8832,0.5086940436551978,0.3591119472339968,stable,1.7667,2.8832,0.6127450980392156,0.5487924809283634,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,4,35,7,118,7,132,7,128,7,126,7,121,7.0,120.0,7.0,127.0,7.0,115.0,0.0,0.0,60.0,1022.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,185.8181818181818,10.909090909090908,02012022_limpio.csv,2,1,2022,Sunday,0,0.5833,1.4416,0.40464298927118014,0.4714653440319792,stable,1.9667,2.5228,0.7795571058612122,1.4017449757753737,stable,2.2,2.5228,0.8720469319803392,2.701508463383947,stable,2.1333,2.5228,0.8456212673748743,2.1712288617978595,stable,2.1,2.5228,0.8324084350721419,1.9687995153078075,stable,2.0167,2.5228,0.7993763543153108,1.5793789929833568,stable,2.0,2.5228,0.7927699381639446,1.5163923836341695,stable,2.1167,2.5228,0.839014851223508,2.065860598876002,stable,1.9167,2.5228,0.7597378574071136,1.2534170546751755,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,5,57,7,147,7,148,7,145,7,145,7,154,7.0,151.0,7.0,158.0,7.0,150.0,0.0,0.0,61.0,1255.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,228.1818181818182,11.090909090909092,02042022_limpio.csv,2,4,2022,Saturday,1,0.95,1.802,0.5271920088790233,0.6187699634730319,stable,2.45,2.5228,0.9711431742508323,13.339878767181684,stable,2.4667,2.5228,0.9777495904021984,17.418341871772984,stable,2.4167,2.5228,0.9579303419480997,9.025725583681782,stable,2.4167,2.5228,0.9579303419480997,9.025725583681782,stable,2.5667,2.5228,1.0173880873103958,60.0,saturated,2.5167,2.5228,0.997568838856297,60.0,stable,2.6333,2.5228,1.0438137519158603,60.0,saturated,2.5,2.5228,0.9909624227049308,43.4632641537239,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,0,0,5,43,5,36,6,37,6,47,5,29,6.0,72.0,6.0,33.0,0.0,0.0,0.0,0.0,39.0,297.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,54.0,7.090909090909091,02062022_limpio.csv,2,6,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,0.7167,1.802,0.39770625231224566,0.36643696466116005,stable,0.6,1.802,0.3329633740288568,0.2770077986928925,stable,0.6167,2.1624,0.2851769638673079,0.18449298964934088,stable,0.7833,2.1624,0.36225181896658026,0.2626789753697526,stable,0.4833,1.802,0.26822049574546797,0.2034028026381203,stable,1.2,2.1624,0.5549389567147612,0.5766198635855788,stable,0.55,2.1624,0.25434702182759894,0.15774436977648157,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
