date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,7,72,7,74,10,104,11,128,11,137,11.0,120.0,11.0,142.0,11.0,135.0,0.0,0.0,79.0,912.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,165.8181818181818,14.363636363636363,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,1.2,2.0048,0.5985634477254589,0.7437418585057889,stable,1.2333,2.0048,0.6151902101622773,0.7974294117208919,stable,1.7333,2.864,0.6052141527001864,0.535271951090967,stable,2.1333,3.1504,0.6771626883358728,0.6657997066752817,stable,2.2833,3.1504,0.7247756898594888,0.83589384498634,stable,2.0,3.1504,0.6348400203148807,0.5518428549329634,stable,2.3667,3.1504,0.7512273573726089,0.9585241885496039,stable,2.25,3.1504,0.7141950228542409,0.7931974931744129,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,6,41,9,48,10,69,8,23,8,46,6.0,32.0,10.0,41.0,0.0,0.0,0.0,0.0,57.0,300.0,False,Ninguno,28.0,16.0,Overcast,0,54.54545454545455,10.363636363636363,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.6833,1.7184,0.3976567349472378,0.3841846595522716,stable,0.8,2.5776,0.3103662321539417,0.1745984654331356,stable,1.15,2.864,0.4015363128491621,0.23426856058877607,stable,0.3833,2.2912,0.16730679702048423,0.08769312863607744,stable,0.7667,2.2912,0.33461359404096847,0.21948591527962777,stable,0.5333,1.7184,0.3103662321539417,0.2618976981497034,stable,0.6833,2.864,0.2385940409683427,0.1094133480441804,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,10,59,10,85,10,74,9,67,10,80,10,88,10.0,86.0,10.0,86.0,10.0,82.0,0.0,0.0,89.0,707.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,128.54545454545453,16.181818181818183,01052022_limpio.csv,1,5,2022,Sunday,0,0.9833,2.864,0.343342644320298,0.1825643270047668,stable,1.4167,2.864,0.49464618249534464,0.3417638294532553,stable,1.2333,2.864,0.43063314711359413,0.2640841049347471,stable,1.1167,2.5776,0.43321953238154365,0.29653614062805317,stable,1.3333,2.864,0.46554934823091254,0.3041480933564325,stable,1.4667,2.864,0.5121042830540038,0.3664868437886479,stable,1.4333,2.864,0.5004655493482311,0.34981282573268724,stable,1.4333,2.864,0.5004655493482311,0.34981282573268724,stable,1.3667,2.864,0.4771880819366854,0.3186919514269939,stable,0.0,0.0,0.0,0.0,Closed
2022-07-01,4,44,10,169,10,164,10,184,10,171,10,170,10.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1083.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,196.9090909090909,11.636363636363637,01072022_limpio.csv,1,7,2022,Friday,0,0.7333,1.1456,0.6401303538175047,1.5527094610709211,stable,2.8167,2.864,0.9834729981378029,20.777598552207444,stable,2.7333,2.864,0.9543761638733708,7.303899213316648,stable,3.0667,2.864,1.070763500931099,60.0,saturated,2.85,2.864,0.9951117318435756,60.0,stable,2.8333,2.864,0.9892923649906893,32.25953364100149,stable,3.0167,2.864,1.0533054003724396,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,3,10,8,64,10,79,10,76,9,63,8,46,4.0,29.0,3.0,7.0,0.0,0.0,0.0,0.0,55.0,374.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,68.0,10.0,01092022_limpio.csv,1,9,2022,Thursday,0,0.1667,0.8592,0.19397889509621355,0.2801004453641898,stable,1.0667,2.2912,0.4655493482309126,0.38018511669554067,stable,1.3167,2.864,0.4597299813780262,0.29711114694831514,stable,1.2667,2.864,0.4422718808193669,0.27688139450294263,stable,1.05,2.5776,0.4073556797020485,0.2666638385061853,stable,0.7667,2.2912,0.33461359404096847,0.21948591527962777,stable,0.4833,1.1456,0.42190409683426455,0.6370607461761598,stable,0.1167,0.8592,0.1357852265673495,0.18286751647604982,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,9,68,8,142,8,145,7,143,8,168,8,152,7.0,147.0,8.0,170.0,0.0,0.0,8.0,64.0,106.0,1773.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,270.1818181818182,16.09090909090909,01102022_limpio.csv,1,10,2022,Saturday,0,1.1333,2.5776,0.43968549555141745,0.30443511970417575,stable,2.3667,2.2912,1.0329376163873374,60.0,saturated,2.4167,2.2912,1.0547602420856612,60.0,saturated,2.3833,2.0048,1.1888135142325087,60.0,saturated,2.8,2.2912,1.2220670391061454,60.0,saturated,2.5333,2.2912,1.1056797020484173,60.0,saturated,2.45,2.0048,1.2220670391061454,60.0,saturated,2.8333,2.2912,1.2366154562383616,60.0,saturated,0.0,0.0,0.0,0.0,Closed,1.0667,2.2912,0.4655493482309126,0.38018511669554067,stable
2022-12-01,5,25,10,96,11,157,8,117,8,93,7,83,8.0,91.0,9.0,107.0,0.0,0.0,0.0,0.0,66.0,769.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,139.8181818181818,12.0,01122022_limpio.csv,1,12,2022,Thursday,1,0.4167,1.432,0.29096834264432037,0.28657420483682255,stable,1.6,2.864,0.5586592178770952,0.4419772293331451,stable,2.6167,3.1504,0.830582359911969,1.556174793739639,stable,1.95,2.2912,0.851082402234637,2.494379842422738,stable,1.55,2.2912,0.6765013966480449,0.9127110046519771,stable,1.3833,2.0048,0.6900106411279596,1.110293887247307,stable,1.5167,2.2912,0.6619529795158288,0.8546475032481872,stable,1.7833,2.5776,0.6918580591764951,0.8710652079610067,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,8,52,10,95,8,110,10,99,10,112,12,136,10.0,125.0,11.0,129.0,11.0,136.0,0.0,0.0,90.0,994.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,180.72727272727272,16.363636363636363,02012022_limpio.csv,2,1,2022,Sunday,0,0.8667,2.2912,0.3782588454376165,0.2655317615857474,stable,1.5833,2.864,0.5528398510242086,0.43168129960245355,stable,1.8333,2.2912,0.800162942271881,1.747589419638647,stable,1.65,2.864,0.5761173184357543,0.4745612178218736,stable,1.8667,2.864,0.6517690875232776,0.6535117856182601,stable,2.2667,3.4368,0.6595282433271261,0.5636351213483874,stable,2.0833,2.864,0.7274208566108009,0.9317944363076023,stable,2.15,3.1504,0.6824530218384968,0.6821801497785857,stable,2.2667,3.1504,0.7194853563568648,0.8141430556240932,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,6,58,10,84,10,79,10,76,10,82,10,75,10.0,77.0,10.0,83.0,10.0,45.0,0.0,0.0,86.0,659.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,119.8181818181818,15.636363636363637,02042022_limpio.csv,2,4,2022,Saturday,1,0.9667,1.7184,0.5625387957790193,0.7483222717883374,stable,1.4,2.864,0.48882681564245817,0.3338980981164333,stable,1.3167,2.864,0.4597299813780262,0.29711114694831514,stable,1.2667,2.864,0.4422718808193669,0.27688139450294263,stable,1.3667,2.864,0.4771880819366854,0.3186919514269939,stable,1.25,2.864,0.43645251396648055,0.2704166753200004,stable,1.2833,2.864,0.4480912476722534,0.2834824426437707,stable,1.3833,2.864,0.4830074487895718,0.32620944312668076,stable,0.75,2.864,0.2618715083798883,0.12387488570477219,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,3,14,5,27,4,11,11,60,9,35,8,38,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,208.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,37.81818181818182,8.181818181818182,02062022_limpio.csv,2,6,2022,Thursday,0,0.2333,0.8592,0.271570453134699,0.4339110350469201,stable,0.45,1.432,0.314245810055866,0.3200059165538351,stable,0.1833,1.1456,0.16003258845437618,0.16630794144489702,stable,1.0,3.1504,0.31742001015744037,0.14760975174732166,stable,0.5833,2.5776,0.22630871094558253,0.11347966384247306,stable,0.6333,2.2912,0.2764199255121043,0.1667323018610892,stable,0.3833,1.432,0.26769087523277474,0.25526784033640315,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
