date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,24,283,24,279,24,284,24,280,24,286,24.0,283.0,24.0,282.0,24.0,284.0,0.0,0.0,192.0,2261.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,411.09090909090907,34.90909090909091,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,4.7167,4.8,0.982638888888889,11.791666666666709,stable,4.65,4.8,0.9687500000000001,6.458333333333357,stable,4.7333,4.8,0.9861111111111112,14.791666666666721,stable,4.6667,4.8,0.9722222222222223,7.291666666666694,stable,4.7667,4.8,0.9930555555555556,29.791666666666774,stable,4.7167,4.8,0.982638888888889,11.791666666666709,stable,4.7,4.8,0.9791666666666667,9.791666666666703,stable,4.7333,4.8,0.9861111111111112,14.791666666666721,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,28.0,16.0,Overcast,0,0.0,0.0,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,0.0,0.0,01052022_limpio.csv,1,5,2022,Sunday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,0.0,0.0,01072022_limpio.csv,1,7,2022,Friday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,9,50,16,187,18,209,16,188,16,183,18,212,6.0,60.0,5.0,57.0,0.0,0.0,0.0,0.0,104.0,1146.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,208.36363636363637,18.90909090909091,01092022_limpio.csv,1,9,2022,Thursday,0,0.8333,1.8,0.46296296296296297,0.47892720306513414,stable,3.1167,3.2,0.9739583333333333,11.687499999999979,stable,3.4833,3.6,0.9675925925925926,8.293650793650793,stable,3.1333,3.2,0.9791666666666666,14.687499999999954,stable,3.05,3.2,0.9531249999999999,6.354166666666651,stable,3.5333,3.6,0.9814814814814814,14.722222222222177,stable,1.0,1.2,0.8333333333333334,4.166666666666668,stable,0.95,1.0,0.95,18.999999999999982,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,16,184,16,186,17,201,15,180,18,215,17,203,18.0,215.0,18.0,215.0,0.0,0.0,0.0,0.0,135.0,1599.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,290.72727272727275,24.545454545454547,01102022_limpio.csv,1,10,2022,Saturday,0,3.0667,3.2,0.9583333333333334,7.187500000000002,stable,3.1,3.2,0.96875,9.687499999999991,stable,3.35,3.4,0.9852941176470589,19.705882352941245,stable,3.0,3.0,1.0,90.0,saturated,3.5833,3.6,0.9953703703703703,59.722222222222435,stable,3.3833,3.4,0.9950980392156863,59.705882352941394,stable,3.5833,3.6,0.9953703703703703,59.722222222222435,stable,3.5833,3.6,0.9953703703703703,59.722222222222435,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-12-01,15,166,30,350,25,288,29,340,30,345,30,346,30.0,346.0,26.0,307.0,0.0,0.0,0.0,0.0,215.0,2488.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,452.3636363636364,39.09090909090909,01122022_limpio.csv,1,12,2022,Thursday,1,2.7667,3.0,0.9222222222222222,3.952380952380951,stable,5.8333,6.0,0.9722222222222222,5.833333333333322,stable,4.8,5.0,0.96,4.799999999999995,stable,5.6667,5.8,0.9770114942528736,7.327586206896578,stable,5.75,6.0,0.9583333333333334,3.8333333333333335,stable,5.7667,6.0,0.9611111111111111,4.119047619047618,stable,5.7667,6.0,0.9611111111111111,4.119047619047618,stable,5.1167,5.2,0.9839743589743588,11.807692307692223,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,24,260,24,282,24,282,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,824.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,149.8181818181818,13.090909090909092,02012022_limpio.csv,2,1,2022,Sunday,0,4.3333,4.8,0.9027777777777778,1.9345238095238089,stable,4.7,4.8,0.9791666666666667,9.791666666666703,stable,4.7,4.8,0.9791666666666667,9.791666666666703,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,0.0,0.0,02042022_limpio.csv,2,4,2022,Saturday,1,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,0.0,0.0,02062022_limpio.csv,2,6,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
