date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,11,48,9,54,10,66,9,54,9,52,8.0,48.0,9.0,58.0,11.0,74.0,0.0,0.0,76.0,454.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,82.54545454545455,13.818181818181818,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,0.8,1.32,0.6060606060606062,1.165501165501166,stable,0.9,1.08,0.8333333333333335,4.629629629629634,stable,1.1,1.2,0.9166666666666667,9.16666666666668,stable,0.9,1.08,0.8333333333333335,4.629629629629634,stable,0.8667,1.08,0.8024691358024693,3.761574074074078,stable,0.8,0.96,0.8333333333333335,5.208333333333341,stable,0.9667,1.08,0.8950617283950618,7.897603485838792,stable,1.2333,1.32,0.9343434343434345,10.78088578088581,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,10,27,9,30,9,29,10,30,8,20,9.0,17.0,12.0,28.0,0.0,0.0,0.0,0.0,67.0,181.0,False,Ninguno,28.0,16.0,Overcast,0,32.90909090909091,12.181818181818182,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.45,1.2,0.375,0.5000000000000001,stable,0.5,1.08,0.462962962962963,0.7982120051085572,stable,0.4833,1.08,0.4475308641975309,0.7500517277053594,stable,0.5,1.2,0.4166666666666667,0.5952380952380952,stable,0.3333,0.96,0.34722222222222227,0.5540780141843974,stable,0.2833,1.08,0.26234567901234573,0.32930419959708673,stable,0.4667,1.44,0.32407407407407407,0.3329528158295282,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,7,40,12,74,12,73,12,64,11,69,12,65,12.0,80.0,12.0,70.0,12.0,52.0,0.0,0.0,102.0,587.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,106.72727272727272,18.545454545454547,01052022_limpio.csv,1,5,2022,Sunday,0,0.6667,0.84,0.7936507936507937,4.578754578754582,stable,1.2333,1.44,0.8564814814814815,4.144265232974913,stable,1.2167,1.44,0.8449074074074073,3.783167495854062,stable,1.0667,1.44,0.7407407407407408,1.9841269841269842,stable,1.15,1.32,0.8712121212121212,5.124777183600715,stable,1.0833,1.44,0.7523148148148148,2.1092938733125646,stable,1.3333,1.44,0.9259259259259259,8.680555555555554,stable,1.1667,1.44,0.8101851851851852,2.964092140921411,stable,0.8667,1.44,0.6018518518518519,1.0497416020671837,stable,0.0,0.0,0.0,0.0,Closed
2022-07-01,5,32,7,44,9,56,9,56,9,58,11,73,10.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,396.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,72.0,10.909090909090908,01072022_limpio.csv,1,7,2022,Friday,0,0.5333,0.6,0.888888888888889,13.333333333333337,stable,0.7333,0.84,0.8730158730158731,8.184523809523817,stable,0.9333,1.08,0.8641975308641977,5.8922558922559,stable,0.9333,1.08,0.8641975308641977,5.8922558922559,stable,0.9667,1.08,0.8950617283950618,7.897603485838792,stable,1.2167,1.32,0.9217171717171717,8.919843597262958,stable,1.2833,1.2,1.0694444444444446,60.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,1,1,8,22,12,45,13,51,11,49,12,54,11.0,28.0,11.0,40.0,0.0,0.0,0.0,0.0,79.0,290.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,52.72727272727273,14.363636363636363,01092022_limpio.csv,1,9,2022,Thursday,0,0.0167,0.12,0.1388888888888889,1.3440860215053767,stable,0.3667,0.96,0.3819444444444445,0.6437265917602997,stable,0.75,1.44,0.5208333333333334,0.7548309178743962,stable,0.85,1.56,0.5448717948717949,0.7674250631997113,stable,0.8167,1.32,0.6186868686868687,1.22917920931166,stable,0.9,1.44,0.625,1.1574074074074077,stable,0.4667,1.32,0.3535353535353536,0.41429924242424254,stable,0.6667,1.32,0.5050505050505051,0.7730364873222018,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,9,45,10,64,10,64,11,66,11,62,11,64,11.0,65.0,11.0,72.0,0.0,0.0,6.0,27.0,128.0,773.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,118.36363636363636,19.818181818181817,01102022_limpio.csv,1,10,2022,Saturday,0,0.75,1.08,0.6944444444444445,2.1043771043771056,stable,1.0667,1.2,0.888888888888889,6.666666666666669,stable,1.0667,1.2,0.888888888888889,6.666666666666669,stable,1.1,1.32,0.8333333333333335,3.7878787878787925,stable,1.0333,1.32,0.782828282828283,2.730796335447501,stable,1.0667,1.32,0.8080808080808082,3.1897926634768763,stable,1.0833,1.32,0.8207070707070707,3.4677763551003005,stable,1.2,1.32,0.9090909090909092,7.575757575757584,stable,0.0,0.0,0.0,0.0,Closed,0.45,0.72,0.625,2.3148148148148153,stable
2022-12-01,2,8,11,67,12,74,12,69,12,73,11,69,12.0,71.0,12.0,47.0,0.0,0.0,0.0,0.0,84.0,478.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,86.9090909090909,15.272727272727272,01122022_limpio.csv,1,12,2022,Thursday,1,0.1333,0.24,0.5555555555555556,5.208333333333336,stable,1.1167,1.32,0.8459595959595961,4.160457029309494,stable,1.2333,1.44,0.8564814814814815,4.144265232974913,stable,1.15,1.44,0.798611111111111,2.7538314176245207,stable,1.2167,1.44,0.8449074074074073,3.783167495854062,stable,1.15,1.32,0.8712121212121212,5.124777183600715,stable,1.1833,1.44,0.8217592592592593,3.2016594516594528,stable,0.7833,1.44,0.5439814814814815,0.8283981951494642,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,7,36,9,55,10,61,8,47,9,48,9,54,9.0,66.0,10.0,64.0,10.0,66.0,0.0,0.0,81.0,497.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,90.36363636363636,14.727272727272728,02012022_limpio.csv,2,1,2022,Sunday,0,0.6,0.84,0.7142857142857144,2.976190476190478,stable,0.9167,1.08,0.8487654320987655,5.196523053665914,stable,1.0167,1.2,0.8472222222222222,4.621212121212121,stable,0.7833,0.96,0.8159722222222223,4.618710691823904,stable,0.8,1.08,0.7407407407407409,2.6455026455026482,stable,0.9,1.08,0.8333333333333335,4.629629629629634,stable,1.1,1.08,1.0185185185185188,60.0,saturated,1.0667,1.2,0.888888888888889,6.666666666666669,stable,1.1,1.2,0.9166666666666667,9.16666666666668,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,7,25,7,41,10,60,8,46,10,50,10,54,10.0,53.0,10.0,54.0,10.0,40.0,0.0,0.0,82.0,423.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,76.9090909090909,14.909090909090908,02042022_limpio.csv,2,4,2022,Saturday,1,0.4167,0.84,0.49603174603174616,1.171728533933259,stable,0.6833,0.84,0.8134920634920636,5.192502532928071,stable,1.0,1.2,0.8333333333333334,4.166666666666668,stable,0.7667,0.96,0.7986111111111113,4.130747126436787,stable,0.8333,1.2,0.6944444444444445,1.8939393939393945,stable,0.9,1.2,0.75,2.5000000000000004,stable,0.8833,1.2,0.7361111111111112,2.3245614035087723,stable,0.9,1.2,0.75,2.5000000000000004,stable,0.6667,1.2,0.5555555555555556,1.0416666666666665,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,4,7,6,14,8,29,9,24,7,15,6,17,8.0,20.0,8.0,20.0,0.0,0.0,0.0,0.0,56.0,146.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,26.545454545454547,10.181818181818182,02062022_limpio.csv,2,6,2022,Thursday,0,0.1167,0.48,0.2430555555555556,0.6689602446483183,stable,0.2333,0.72,0.32407407407407407,0.6659056316590564,stable,0.4833,0.96,0.5034722222222223,1.0562354312354318,stable,0.4,1.08,0.37037037037037046,0.5446623093681919,stable,0.25,0.84,0.29761904761904767,0.5044390637610978,stable,0.2833,0.72,0.39351851851851855,0.9011874469889738,stable,0.3333,0.96,0.34722222222222227,0.5540780141843974,stable,0.3333,0.96,0.34722222222222227,0.5540780141843974,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
