date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,10,172,10,176,9,160,9,160,9,159,9.0,160.0,9.0,160.0,9.0,159.0,0.0,0.0,74.0,1306.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,237.45454545454547,13.454545454545457,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,2.8667,3.0,0.9555555555555556,7.166666666666669,stable,2.9333,3.0,0.9777777777777777,14.66666666666662,stable,2.6667,2.7,0.9876543209876542,29.62962962962934,stable,2.6667,2.7,0.9876543209876542,29.62962962962934,stable,2.65,2.7,0.9814814814814814,19.629629629629523,stable,2.6667,2.7,0.9876543209876542,29.62962962962934,stable,2.6667,2.7,0.9876543209876542,29.62962962962934,stable,2.65,2.7,0.9814814814814814,19.629629629629523,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,5,63,7,96,8,118,8,73,8,129,6.0,77.0,7.0,47.0,0.0,0.0,0.0,0.0,49.0,603.0,False,Ninguno,28.0,16.0,Overcast,0,109.63636363636364,8.909090909090908,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,1.05,1.5,0.7000000000000001,1.5555555555555558,stable,1.6,2.1,0.7619047619047619,1.5238095238095237,stable,1.9667,2.4,0.8194444444444444,1.891025641025641,stable,1.2167,2.4,0.5069444444444444,0.42840375586854457,stable,2.15,2.4,0.8958333333333334,3.5833333333333335,stable,1.2833,1.8,0.712962962962963,1.3799283154121866,stable,0.7833,2.1,0.373015873015873,0.2833031946955997,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,7,121,8,141,9,162,8,141,5,90,8,141,8.0,140.0,8.0,140.0,8.0,138.0,0.0,0.0,69.0,1214.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,220.72727272727272,12.545454545454543,01052022_limpio.csv,1,5,2022,Sunday,0,2.0167,2.1,0.9603174603174602,11.523809523809502,stable,2.35,2.4,0.9791666666666667,19.583333333333407,stable,2.7,2.7,1.0,90.0,saturated,2.35,2.4,0.9791666666666667,19.583333333333407,stable,1.5,1.5,1.0,90.0,saturated,2.35,2.4,0.9791666666666667,19.583333333333407,stable,2.3333,2.4,0.9722222222222223,14.583333333333387,stable,2.3333,2.4,0.9722222222222223,14.583333333333387,stable,2.3,2.4,0.9583333333333333,9.583333333333323,stable,0.0,0.0,0.0,0.0,Closed
2022-07-01,8,107,7,124,7,120,7,121,7,119,8,141,9.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,884.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,160.72727272727272,9.636363636363637,01072022_limpio.csv,1,7,2022,Friday,0,1.7833,2.4,0.7430555555555556,1.2049549549549554,stable,2.0667,2.1,0.9841269841269842,29.52380952380963,stable,2.0,2.1,0.9523809523809523,9.523809523809515,stable,2.0167,2.1,0.9603174603174602,11.523809523809502,stable,1.9833,2.1,0.9444444444444444,8.095238095238093,stable,2.35,2.4,0.9791666666666667,19.583333333333407,stable,2.5333,2.7,0.9382716049382716,5.629629629629619,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,3,22,9,129,9,126,8,113,8,112,9,112,5.0,56.0,10.0,64.0,0.0,0.0,0.0,0.0,61.0,734.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,133.45454545454547,11.090909090909092,01092022_limpio.csv,1,9,2022,Thursday,0,0.3667,0.9,0.4074074074074074,0.7638888888888887,stable,2.15,2.7,0.7962962962962962,1.447811447811447,stable,2.1,2.7,0.7777777777777778,1.296296296296296,stable,1.8833,2.4,0.7847222222222222,1.5188172043010755,stable,1.8667,2.4,0.7777777777777778,1.458333333333334,stable,1.8667,2.7,0.691358024691358,0.8296296296296295,stable,0.9333,1.5,0.6222222222222222,1.0980392156862746,stable,1.0667,3.0,0.35555555555555557,0.1839080459770115,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,8,116,8,141,8,141,8,143,8,144,8,143,8.0,144.0,8.0,144.0,0.0,0.0,0.0,0.0,64.0,1116.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,202.9090909090909,11.636363636363637,01102022_limpio.csv,1,10,2022,Saturday,0,1.9333,2.4,0.8055555555555556,1.7261904761904767,stable,2.35,2.4,0.9791666666666667,19.583333333333407,stable,2.35,2.4,0.9791666666666667,19.583333333333407,stable,2.3833,2.4,0.9930555555555556,59.58333333333355,stable,2.4,2.4,1.0,90.0,saturated,2.3833,2.4,0.9930555555555556,59.58333333333355,stable,2.4,2.4,1.0,90.0,saturated,2.4,2.4,1.0,90.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-12-01,0,0,0,0,6,108,8,144,8,144,8,144,8.0,144.0,8.0,144.0,0.0,0.0,0.0,0.0,46.0,828.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,150.54545454545453,8.363636363636363,01122022_limpio.csv,1,12,2022,Thursday,1,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,1.8,1.8,1.0,90.0,saturated,2.4,2.4,1.0,90.0,saturated,2.4,2.4,1.0,90.0,saturated,2.4,2.4,1.0,90.0,saturated,2.4,2.4,1.0,90.0,saturated,2.4,2.4,1.0,90.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,8,131,10,176,10,179,10,174,9,158,10,176,10.0,178.0,10.0,175.0,10.0,177.0,0.0,0.0,87.0,1524.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,277.09090909090907,15.818181818181818,02012022_limpio.csv,2,1,2022,Sunday,0,2.1833,2.4,0.9097222222222222,4.198717948717946,stable,2.9333,3.0,0.9777777777777777,14.66666666666662,stable,2.9833,3.0,0.9944444444444445,59.66666666666688,stable,2.9,3.0,0.9666666666666667,9.666666666666657,stable,2.6333,2.7,0.9753086419753085,14.629629629629582,stable,2.9333,3.0,0.9777777777777777,14.66666666666662,stable,2.9667,3.0,0.9888888888888889,29.666666666666774,stable,2.9167,3.0,0.9722222222222222,11.666666666666645,stable,2.95,3.0,0.9833333333333334,19.66666666666674,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,7,94,7,110,7,121,8,139,8,139,8,143,8.0,136.0,8.0,140.0,8.0,139.0,0.0,0.0,69.0,1161.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,211.0909090909091,12.545454545454543,02042022_limpio.csv,2,4,2022,Saturday,1,1.5667,2.1,0.746031746031746,1.3988095238095233,stable,1.8333,2.1,0.8730158730158729,3.2738095238095215,stable,2.0167,2.1,0.9603174603174602,11.523809523809502,stable,2.3167,2.4,0.9652777777777779,11.583333333333375,stable,2.3167,2.4,0.9652777777777779,11.583333333333375,stable,2.3833,2.4,0.9930555555555556,59.58333333333355,stable,2.2667,2.4,0.9444444444444444,7.083333333333336,stable,2.3333,2.4,0.9722222222222223,14.583333333333387,stable,2.3167,2.4,0.9652777777777779,11.583333333333375,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,3,7,7,45,8,72,8,91,8,33,8,74,8.0,90.0,8.0,66.0,0.0,0.0,0.0,0.0,58.0,478.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,86.9090909090909,10.545454545454543,02062022_limpio.csv,2,6,2022,Thursday,0,0.1167,0.9,0.12962962962962962,0.16548463356973997,stable,0.75,2.1,0.35714285714285715,0.26455026455026454,stable,1.2,2.4,0.5,0.4166666666666667,stable,1.5167,2.4,0.6319444444444444,0.7154088050314467,stable,0.55,2.4,0.22916666666666669,0.1238738738738739,stable,1.2333,2.4,0.513888888888889,0.4404761904761906,stable,1.5,2.4,0.625,0.6944444444444445,stable,1.1,2.4,0.45833333333333337,0.35256410256410264,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
