date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,72,269,72,259,72,248,72,264,72,233,72.0,244.0,72.0,291.0,72.0,267.0,0.0,0.0,576.0,2075.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,377.27272727272725,104.72727272727272,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,4.4833,6.7968,0.6596241368487131,0.2851236831517116,stable,4.3167,6.7968,0.6351027934714375,0.25607606854662546,stable,4.1333,6.7968,0.6081293157564345,0.2283224803851251,stable,4.4,6.7968,0.6473634651600754,0.2700949036882825,stable,3.8833,6.7968,0.571347300690521,0.1961056590169286,stable,4.0667,6.7968,0.5983207784055241,0.21915441678264455,stable,4.85,6.7968,0.7135710922787193,0.36653538744540737,stable,4.45,6.7968,0.654719868173258,0.27898409245494205,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,28.0,16.0,Overcast,0,0.0,0.0,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,0.0,0.0,01052022_limpio.csv,1,5,2022,Sunday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,0.0,0.0,01072022_limpio.csv,1,7,2022,Friday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,0.0,0.0,01092022_limpio.csv,1,9,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,36,129,72,363,72,333,72,383,72,371,72,365,72.0,364.0,69.0,347.0,0.0,0.0,0.0,0.0,537.0,2655.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,482.72727272727275,97.63636363636364,01102022_limpio.csv,1,10,2022,Saturday,0,2.15,3.3984,0.63265065913371,0.5067691918725648,stable,6.05,6.7968,0.8901247645951035,1.1919185385579847,stable,5.55,6.7968,0.8165607344632768,0.6549251960725669,stable,6.3833,6.7968,0.9391674513496547,2.271446593073981,stable,6.1833,6.7968,0.9097418392969241,1.4829523570369334,stable,6.0833,6.7968,0.8950290332705586,1.2544791159650879,stable,6.0667,6.7968,0.8925768989328311,1.2224847958356881,stable,5.7833,6.5136,0.8878858593302219,1.2158378573994284,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-12-01,26,110,30,134,72,362,72,320,72,375,72,376,72.0,378.0,56.0,252.0,0.0,0.0,0.0,0.0,472.0,2307.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,419.45454545454544,85.81818181818181,01122022_limpio.csv,1,12,2022,Thursday,1,1.8333,2.4544,0.7469578444154716,1.2027015528372775,stable,2.2333,2.832,0.7886064030131827,1.317271274520907,stable,6.0333,6.7968,0.887672630257376,1.162686819233377,stable,5.3333,6.7968,0.7846829880728186,0.536180977637221,stable,6.25,6.7968,0.9195503766478342,1.6816941782147656,stable,6.2667,6.7968,0.9220025109855619,1.7391898471810137,stable,6.3,6.7968,0.9269067796610169,1.8657543874014013,stable,4.2,5.2864,0.7944915254237289,0.7313066323856124,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,46,175,72,262,72,294,72,272,72,259,72,268,72.0,274.0,72.0,269.0,72.0,306.0,0.0,0.0,622.0,2379.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,432.54545454545456,113.0909090909091,02012022_limpio.csv,2,1,2022,Sunday,0,2.9167,4.3424,0.6716715794645051,0.47110603628390435,stable,4.3667,6.7968,0.6424591964846201,0.2643719946030204,stable,4.9,6.7968,0.7209274952919021,0.38007565125047565,stable,4.5333,6.7968,0.6669805398618958,0.29467212823776023,stable,4.3167,6.7968,0.6351027934714375,0.25607606854662546,stable,4.4667,6.7968,0.6571720025109855,0.2820319305809334,stable,4.5667,6.7968,0.6718848085373509,0.3012756226252619,stable,4.4833,6.7968,0.6596241368487131,0.2851236831517116,stable,5.1,6.7968,0.7503531073446327,0.4422165884869357,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,0.0,0.0,02042022_limpio.csv,2,4,2022,Saturday,1,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,0.0,0.0,02062022_limpio.csv,2,6,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
