date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,7,107,7,105,7,91,7,100,7,98,7.0,93.0,7.0,97.0,7.0,98.0,0.0,0.0,56.0,789.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,143.45454545454547,10.181818181818182,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,1.7833,1.7733,1.005639097744361,90.0,saturated,1.75,1.7733,0.986842105263158,42.293233082707005,stable,1.5167,1.7733,0.8552631578947368,3.332194121667807,stable,1.6667,1.7733,0.9398496240601505,8.811090225563927,stable,1.6333,1.7733,0.9210526315789475,6.5789473684210575,stable,1.55,1.7733,0.87406015037594,3.913702165862421,stable,1.6167,1.7733,0.9116541353383459,5.819068948968171,stable,1.6333,1.7733,0.9210526315789475,6.5789473684210575,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,6,60,7,97,8,98,6,86,7,98,8.0,104.0,7.0,93.0,0.0,0.0,0.0,0.0,49.0,636.0,False,Ninguno,28.0,16.0,Overcast,0,115.63636363636364,8.909090909090908,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,1.0,1.52,0.6578947368421053,1.2651821862348185,stable,1.6167,1.7733,0.9116541353383459,5.819068948968171,stable,1.6333,2.0267,0.8059210526315791,2.0489518287243547,stable,1.4333,1.52,0.942982456140351,10.880566801619462,stable,1.6333,1.7733,0.9210526315789475,6.5789473684210575,stable,1.7333,2.0267,0.855263157894737,2.9156698564593335,stable,1.55,1.7733,0.87406015037594,3.913702165862421,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,8,121,6,96,7,109,9,139,9,141,9,141,9.0,144.0,9.0,141.0,9.0,140.0,0.0,0.0,75.0,1172.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,213.0909090909091,13.636363636363637,01052022_limpio.csv,1,5,2022,Sunday,0,2.0167,2.0267,0.9950657894736843,90.0,stable,1.6,1.52,1.0526315789473686,90.0,saturated,1.8167,1.7733,1.024436090225564,90.0,saturated,2.3167,2.28,1.0160818713450295,90.0,saturated,2.35,2.28,1.0307017543859651,90.0,saturated,2.35,2.28,1.0307017543859651,90.0,saturated,2.4,2.28,1.0526315789473684,90.0,saturated,2.35,2.28,1.0307017543859651,90.0,saturated,2.3333,2.28,1.0233918128654973,90.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-07-01,5,77,8,123,8,127,8,126,8,122,8,126,9.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,890.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,161.8181818181818,9.818181818181818,01072022_limpio.csv,1,7,2022,Friday,0,1.2833,1.2667,1.0131578947368423,90.0,saturated,2.05,2.0267,1.011513157894737,90.0,saturated,2.1167,2.0267,1.0444078947368423,90.0,saturated,2.1,2.0267,1.036184210526316,90.0,saturated,2.0333,2.0267,1.0032894736842106,90.0,saturated,2.1,2.0267,1.036184210526316,90.0,saturated,3.15,2.28,1.3815789473684212,90.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,4,36,8,109,5,67,7,98,7,91,7,103,4.0,59.0,6.0,74.0,0.0,0.0,0.0,0.0,48.0,637.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,115.8181818181818,8.727272727272727,01092022_limpio.csv,1,9,2022,Thursday,0,0.6,1.0133,0.5921052631578948,1.43251273344652,stable,1.8167,2.0267,0.8963815789473686,4.268483709273188,stable,1.1167,1.2667,0.8815789473684211,5.877192982456144,stable,1.6333,1.7733,0.9210526315789475,6.5789473684210575,stable,1.5167,1.7733,0.8552631578947368,3.332194121667807,stable,1.7167,1.7733,0.9680451127819549,17.08314904909333,stable,0.9833,1.0133,0.9703947368421053,32.34649122807027,stable,1.2333,1.52,0.81140350877193,2.8304773561811536,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,8,103,8,120,9,133,9,134,8,118,9,133,9.0,134.0,9.0,131.0,0.0,0.0,0.0,0.0,69.0,1006.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,182.9090909090909,12.545454545454543,01102022_limpio.csv,1,10,2022,Saturday,0,1.7167,2.0267,0.8470394736842106,2.732385398981326,stable,2.0,2.0267,0.9868421052631581,37.0065789473688,stable,2.2167,2.28,0.9722222222222223,15.350877192982534,stable,2.2333,2.28,0.9795321637426901,20.989974937343476,stable,1.9667,2.0267,0.9703947368421053,16.173245614035135,stable,2.2167,2.28,0.9722222222222223,15.350877192982534,stable,2.2333,2.28,0.9795321637426901,20.989974937343476,stable,2.1833,2.28,0.9576023391812866,9.906231094978825,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-12-01,6,82,9,141,9,141,9,140,9,141,9,140,9.0,140.0,9.0,141.0,0.0,0.0,0.0,0.0,69.0,1066.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,193.8181818181818,12.545454545454543,01122022_limpio.csv,1,12,2022,Thursday,1,1.3667,1.52,0.899122807017544,5.863844393592687,stable,2.35,2.28,1.0307017543859651,90.0,saturated,2.35,2.28,1.0307017543859651,90.0,saturated,2.3333,2.28,1.0233918128654973,90.0,saturated,2.35,2.28,1.0307017543859651,90.0,saturated,2.3333,2.28,1.0233918128654973,90.0,saturated,2.3333,2.28,1.0233918128654973,90.0,saturated,2.35,2.28,1.0307017543859651,90.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,7,97,7,88,7,91,7,89,7,87,6,72,6.0,71.0,7.0,103.0,7.0,90.0,0.0,0.0,61.0,788.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,143.27272727272728,11.090909090909092,02012022_limpio.csv,2,1,2022,Sunday,0,1.6167,1.7733,0.9116541353383459,5.819068948968171,stable,1.4667,1.7733,0.8270676691729323,2.6969597907813014,stable,1.5167,1.7733,0.8552631578947368,3.332194121667807,stable,1.4833,1.7733,0.8364661654135339,2.8843660876328774,stable,1.45,1.7733,0.8176691729323309,2.52887373071855,stable,1.2,1.52,0.7894736842105264,2.4671052631578965,stable,1.1833,1.52,0.7785087719298247,2.3124022928608667,stable,1.7167,1.7733,0.9680451127819549,17.08314904909333,stable,1.5,1.7733,0.8458646616541354,3.094626810929765,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,7,103,7,107,9,142,9,136,9,139,9,142,9.0,141.0,9.0,141.0,9.0,140.0,0.0,0.0,77.0,1191.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,216.54545454545453,14.0,02042022_limpio.csv,2,4,2022,Saturday,1,1.7167,1.7733,0.9680451127819549,17.08314904909333,stable,1.7833,1.7733,1.005639097744361,90.0,saturated,2.3667,2.28,1.038011695906433,90.0,saturated,2.2667,2.28,0.9941520467836258,74.5614035087727,stable,2.3167,2.28,1.0160818713450295,90.0,saturated,2.3667,2.28,1.038011695906433,90.0,saturated,2.35,2.28,1.0307017543859651,90.0,saturated,2.35,2.28,1.0307017543859651,90.0,saturated,2.3333,2.28,1.0233918128654973,90.0,saturated,0.0,0.0,0.0,0.0,Closed
2022-06-02,6,49,7,37,7,88,8,101,8,47,8,84,8.0,102.0,7.0,76.0,0.0,0.0,0.0,0.0,59.0,584.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,106.1818181818182,10.727272727272728,02062022_limpio.csv,2,6,2022,Thursday,0,0.8167,1.52,0.537280701754386,0.7639062110251936,stable,0.6167,1.7733,0.3477443609022557,0.30064353968494734,stable,1.4667,1.7733,0.8270676691729323,2.6969597907813014,stable,1.6833,2.0267,0.830592105263158,2.4192003065917245,stable,0.7833,2.0267,0.3865131578947369,0.31086849160434604,stable,1.4,2.0267,0.6907894736842106,1.1023236282194853,stable,1.7,2.0267,0.8388157894736843,2.5678034371643417,stable,1.2667,1.7733,0.7142857142857143,1.4097744360902258,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
