date,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora,source_file,day,month,year,day_of_week,temporada_alta,lambda_9:00(/min),mu_9:00(/min),rho_9:00,Wq_9:00(min),state_9:00,lambda_10:00(/min),mu_10:00(/min),rho_10:00,Wq_10:00(min),state_10:00,lambda_11:00(/min),mu_11:00(/min),rho_11:00,Wq_11:00(min),state_11:00,lambda_12:00(/min),mu_12:00(/min),rho_12:00,Wq_12:00(min),state_12:00,lambda_13:00(/min),mu_13:00(/min),rho_13:00,Wq_13:00(min),state_13:00,lambda_14:00(/min),mu_14:00(/min),rho_14:00,Wq_14:00(min),state_14:00,lambda_15:00(/min),mu_15:00(/min),rho_15:00,Wq_15:00(min),state_15:00,lambda_16:00(/min),mu_16:00(/min),rho_16:00,Wq_16:00(min),state_16:00,lambda_17:00(/min),mu_17:00(/min),rho_17:00,Wq_17:00(min),state_17:00,lambda_18:00(/min),mu_18:00(/min),rho_18:00,Wq_18:00(min),state_18:00
2022-01-01,0,0,7,143,7,163,7,171,7,151,7,156,7.0,160.0,7.0,163.0,7.0,171.0,0.0,0.0,56.0,1278.0,True,Año Nuevo,26.0,13.0,Patchy rain possible,0,232.36363636363637,10.181818181818182,01012022_limpio.csv,1,1,2022,Saturday,0,0.0,0.0,0.0,0.0,Closed,2.3833,4.6275,0.5150406269809255,0.22950535929873095,stable,2.7167,4.6275,0.5870742811041318,0.3072400466318463,stable,2.85,4.6275,0.6158877427534144,0.3464974923599586,stable,2.5167,4.6275,0.543854088630208,0.25765306453960957,stable,2.6,4.6275,0.5618625021610096,0.2771253956469533,stable,2.6667,4.6275,0.5762692329856508,0.29389495766302054,stable,2.7167,4.6275,0.5870742811041318,0.3072400466318463,stable,2.85,4.6275,0.6158877427534144,0.3464974923599586,stable,0.0,0.0,0.0,0.0,Closed
2022-04-01,0,0,5,58,6,130,8,173,7,149,6,155,6.0,193.0,8.0,105.0,0.0,0.0,0.0,0.0,46.0,963.0,False,Ninguno,28.0,16.0,Overcast,0,175.0909090909091,8.363636363636363,01042022_limpio.csv,1,4,2022,Friday,1,0.0,0.0,0.0,0.0,Closed,0.9667,3.3053,0.29245663574021785,0.12505272337808634,stable,2.1667,3.9664,0.5462552104343149,0.30352008284615206,stable,2.8833,5.2885,0.5452047196450182,0.2266774986051131,stable,2.4833,4.6275,0.5366507232178874,0.25028794379293295,stable,2.5833,3.9664,0.6513042893639909,0.47091315629325475,stable,3.2167,3.9664,0.8109788893370983,1.0816897865958095,stable,1.75,5.2885,0.3309045986284792,0.09351461960562168,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-05-01,5,181,7,225,7,277,7,274,7,262,7,258,7.0,262.0,7.0,246.0,7.0,256.0,0.0,0.0,61.0,2241.0,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,407.45454545454544,11.090909090909092,01052022_limpio.csv,1,5,2022,Sunday,0,3.0167,3.3053,0.9126663977410246,3.161661885938887,stable,3.75,4.6275,0.8103786088860715,0.9235434685679282,stable,4.6167,4.6275,0.997666109606408,90.0,stable,4.5667,4.6275,0.9868610614879271,16.231267458682904,stable,4.3667,4.6275,0.9436408690140032,3.618254865851231,stable,4.3,4.6275,0.929234138189362,2.83764496596914,stable,4.3667,4.6275,0.9436408690140032,3.618254865851231,stable,4.1,4.6275,0.8860139457154381,1.6797534360125834,stable,4.2667,4.6275,0.9220307727770414,2.5555176629075413,stable,0.0,0.0,0.0,0.0,Closed
2022-07-01,5,123,5,182,5,174,5,186,6,202,6,211,7.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1359.0,False,Ninguno,25.0,14.0,Patchy rain possible,0,247.0909090909091,7.090909090909091,01072022_limpio.csv,1,7,2022,Friday,0,2.05,3.3053,0.6202097620008068,0.4940598210309136,stable,3.0333,3.3053,0.9177087535296491,3.37392924091783,stable,2.9,3.3053,0.8773699072206536,2.1645639158404295,stable,3.1,3.3053,0.937878176684147,4.567588522812413,stable,3.3667,3.9664,0.8487965577517816,1.4152899473406761,stable,3.5167,3.9664,0.8866142261664649,1.9714220860505436,stable,4.6833,4.6275,1.0120728404310495,90.0,saturated,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-09-01,0,0,2,44,8,226,8,152,7,197,7,128,6.0,90.0,7.0,81.0,0.0,0.0,0.0,0.0,45.0,918.0,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,166.9090909090909,8.181818181818182,01092022_limpio.csv,1,9,2022,Thursday,0,0.0,0.0,0.0,0.0,Closed,0.7333,1.3221,0.5546591367486889,0.9420161969237243,stable,3.7667,5.2885,0.7122327551432028,0.46799944485491685,stable,2.5333,5.2885,0.47902379991932226,0.17386171599859254,stable,3.2833,4.6275,0.7095314931135827,0.5278728497521941,stable,2.1333,4.6275,0.4610153863885207,0.18483991221607532,stable,1.5,3.9664,0.37817668414683336,0.15333144832421072,stable,1.35,4.6275,0.29173629919898575,0.08901274333804131,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-10-01,6,168,7,261,7,258,7,268,7,268,7,254,7.0,282.0,7.0,271.0,0.0,0.0,3.0,57.0,85.0,3016.0,False,Ninguno,22.0,13.0,Moderate or heavy rain shower,0,463.90909090909093,13.0,01102022_limpio.csv,1,10,2022,Saturday,0,2.8,3.9664,0.7059298104074223,0.6052210308705607,stable,4.35,4.6275,0.9400391863078429,3.387935558533786,stable,4.3,4.6275,0.929234138189362,2.83764496596914,stable,4.4667,4.6275,0.9652509652509652,6.002804510267194,stable,4.4667,4.6275,0.9652509652509652,6.002804510267194,stable,4.2333,4.6275,0.9148274073647208,2.321111486886131,stable,4.7,4.6275,1.0156745231372097,90.0,saturated,4.5167,4.6275,0.9760560133694461,8.809169795753105,stable,0.0,0.0,0.0,0.0,Closed,0.95,1.9832,0.47902379991932226,0.4636312426629135,stable
2022-12-01,5,40,8,210,8,293,8,322,8,313,8,312,8.0,313.0,8.0,307.0,0.0,0.0,0.0,0.0,61.0,2110.0,False,Ninguno,21.0,13.0,Patchy rain possible,0,383.6363636363636,11.090909090909092,01122022_limpio.csv,1,12,2022,Thursday,1,0.6667,3.3053,0.20169423154497781,0.07643793514842515,stable,3.5,5.2885,0.6618091972569584,0.370028998019024,stable,4.8833,5.2885,0.9233814037918516,2.2788287359127644,stable,5.3667,5.2885,1.0147741024606696,90.0,saturated,5.2167,5.2885,0.9864108511496571,13.725568429726197,stable,5.2,5.2885,0.9832593787817668,11.106092380818147,stable,5.2167,5.2885,0.9864108511496571,13.725568429726197,stable,5.1167,5.2885,0.9675020169423153,5.629375583450224,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
2022-01-02,6,96,7,161,7,185,7,166,8,159,8,168,8.0,185.0,8.0,178.0,8.0,191.0,0.0,0.0,67.0,1489.0,False,Ninguno,27.0,13.0,Patchy rain possible,0,270.72727272727275,12.181818181818182,02012022_limpio.csv,2,1,2022,Sunday,0,1.6,3.9664,0.40338846308995563,0.1704650368027196,stable,2.6833,4.6275,0.5798709156918112,0.298267050798202,stable,3.0833,4.6275,0.6663113006396588,0.43151150632911156,stable,2.7667,4.6275,0.5978793292226128,0.3213023050422467,stable,2.65,5.2885,0.5010841064945543,0.18991009139972492,stable,2.8,5.2885,0.5294473578055667,0.2127547783723612,stable,3.0833,5.2885,0.5830223880597015,0.26438526576260724,stable,2.9667,5.2885,0.5609620814844696,0.2415996101489331,stable,3.1833,5.2885,0.6019312222670431,0.28592590835409604,stable,0.0,0.0,0.0,0.0,Closed
2022-04-02,5,85,6,190,7,261,7,249,6,217,6,215,5.0,186.0,6.0,232.0,7.0,229.0,0.0,0.0,55.0,1864.0,False,Ninguno,29.0,16.0,Heavy rain at times,0,338.90909090909093,10.0,02042022_limpio.csv,2,4,2022,Saturday,1,1.4167,3.3053,0.4286002420330779,0.2269327084538006,stable,3.1667,3.9664,0.7983729998655371,0.9982990161706446,stable,4.35,4.6275,0.9400391863078429,3.387935558533786,stable,4.15,4.6275,0.8968189938339193,1.8782860803558774,stable,3.6167,3.9664,0.9118260051095872,2.6072035982927573,stable,3.5833,3.9664,0.9034220787952131,2.3583938708541936,stable,3.1,3.3053,0.937878176684147,4.567588522812413,stable,3.8667,3.9664,0.9748554524673927,9.774620178483204,stable,3.8167,4.6275,0.8247853397107129,1.0172488156274209,stable,0.0,0.0,0.0,0.0,Closed
2022-06-02,2,16,6,52,5,49,6,131,6,156,6,111,6.0,69.0,6.0,82.0,0.0,0.0,0.0,0.0,43.0,666.0,False,Ninguno,19.0,14.0,Heavy rain at times,0,121.0909090909091,7.818181818181818,02062022_limpio.csv,2,6,2022,Thursday,0,0.2667,1.3221,0.20169423154497781,0.19109483787106282,stable,0.8667,3.9664,0.21850208417372596,0.07049060698997525,stable,0.8167,3.3053,0.24707543364259785,0.09928024389603451,stable,2.1833,3.9664,0.5504571735915019,0.30871373677830427,stable,2.6,3.9664,0.6555062525211779,0.47973232766479645,stable,1.85,3.9664,0.4664179104477612,0.22038268306925024,stable,1.15,3.9664,0.2899354578459056,0.10294541181860017,stable,1.3667,3.9664,0.34456097888933707,0.132537046962254,stable,0.0,0.0,0.0,0.0,Closed,0.0,0.0,0.0,0.0,Closed
